Z1_real,Z1_imag,Z1_KK_real
0.999999996052158,-6.28318528237456e-05,0.999999996052158
0.999999993713919,-7.92848057760478e-05,0.99999999371392
0.999999989990782,-0.000100046077518573,0.999999989990782
0.999999984062495,-0.000126243830792158,0.999999984062495
0.999999974622985,-0.000159301645325978,0.999999974622985
0.999999959592616,-0.000201015874616984,0.999999959592616
0.99999993566002,-0.000253653258920396,0.99999993566002
0.999999897552561,-0.000320074098483617,0.999999897552561
0.999999836874716,-0.000403887679755666,0.999999836874715
0.999999740258442,-0.000509648399444909,0.999999740258442
0.999999586418049,-0.000643103241847844,0.999999586418049
0.999999341460738,-0.000811504053463791,0.999999341460737
0.999998951419673,-0.00102400157609618,0.999998951419673
0.999998330364624,-0.00129214263457437,0.999998330364624
0.999997341470949,-0.00163049746494781,0.999997341470949
0.999995766876602,-0.00205745120930133,0.999995766876602
0.999993259687351,-0.00259620246081462,0.999993259687351
0.999989267558993,-0.00327602286656771,0.999989267558993
0.999982911027482,-0.00413384572589047,0.999982911027482
0.999972789798511,-0.00521626888625957,0.999972789798511
0.999956674362608,-0.00658207872038615,0.999956674362608
0.999931015103293,-0.00830542821236296,0.999931015103293
0.999890161023837,-0.0104798335655957,0.999890161023837
0.999825116665381,-0.0132231898737887,0.999825116665381
0.999721565115838,-0.0166840450184405,0.999721565115838
0.999556726026165,-0.0210494057402836,0.999556726026165
0.999294367737924,-0.0265543658404185,0.999294367737924
0.998876903270807,-0.0334938111138473,0.998876903270807
0.998212901164673,-0.0422363008924713,0.998212901164673
0.997157442030846,-0.0532398143624315,0.997157442030846
0.995481451277021,-0.0670681104580768,0.995481451277021
0.992824396388829,-0.0844044686256969,0.992824396388829
0.988622762942575,-0.106055624718184,0.988622762942575
0.982005478035139,-0.132931257212581,0.982005478035139
0.971649784524027,-0.165971325109005,0.971649784524027
0.955603909769546,-0.205973487135368,0.955603909769546
0.931120069972775,-0.25324984751559,0.931120069972775
0.894622687331634,-0.307038979028982,0.894622687331634
0.84206663974978,-0.364678507689025,0.84206663974978
0.770036493079434,-0.420809092588742,0.770036493079434
0.677727662086496,-0.467346635945171,0.677727662086496
0.569099937287239,-0.495202179586176,0.569099937287239
0.45338852433308,-0.497822629393394,0.45338852433308
0.342503504088825,-0.474546998489824,0.342503504088825
0.246507573139337,-0.430977481458476,0.246507573139337
0.170442425385102,-0.376021016718409,0.170442425385102
0.114288668084022,-0.318161544551824,0.114288668084022
0.074963465265896,-0.263332383388798,0.074963465265896
0.0484296645669734,-0.214672383312116,0.0484296645669734
0.0309732052359038,-0.173245103230418,0.0309732052359038
0.0196787975550872,-0.138893997285243,0.0196787975550872
0.0124499915680003,-0.110882772683393,0.0124499915680003
0.00785533587721588,-0.0882815358694671,0.00785533587721588
0.0049478372309697,-0.070166631226713,0.0049478372309697
0.00311311551907091,-0.0557083838469205,0.00311311551907091
0.00195739391432769,-0.0441991235590915,0.00195739391432769
0.00123019612263274,-0.0350525710916132,0.00123019612263274
0.000772952719000981,-0.0277912803428552,0.000772952719000981
0.00048557644554962,-0.0220304484989559,0.00048557644554962
0.000305011250753506,-0.017461907653244,0.000305011250753506
0.000191577690280594,-0.0138398333902248,0.000191577690280594
0.000120324947385827,-0.0109686129156272,0.000120324947385827
7.55709560881555e-05,-0.00869282722241455,7.55709560881555e-05
4.74620970458857e-05,-0.00688911056633799,4.74620970458857e-05
2.98081064365958e-05,-0.00545959869526932,2.98081064365958e-05
1.87205671440133e-05,-0.00432668657108175,1.87205671440133e-05
1.1757143633016e-05,-0.00342884899092824,1.1757143633016e-05
7.38386114583372e-06,-0.00271731607002724,7.38386114583372e-06
4.637292732888e-06,-0.00215343242949578,4.637292732888e-06
2.91236001000338e-06,-0.00170656131684817,2.91236001000338e-06
1.82904894606904e-06,-0.00135242212369104,1.82904894606904e-06
1.14869682578855e-06,-0.00107177213356392,1.14869682578855e-06
7.21415392673829e-07,-0.000849361449698337,7.21415392673829e-07
4.53070013240994e-07,-0.000673104604031615,4.53070013240994e-07
2.84541220624316e-07,-0.000533423977395664,2.84541220624316e-07
1.78700198187412e-07,-0.000422729424400113,1.78700198187412e-07
1.12228939993048e-07,-0.000335005861736348,1.12228939993048e-07
7.04830480788251e-08,-0.000265486427357342,7.0483048078825e-08
4.42654095249182e-08,-0.000210393458941793,4.42654095249182e-08
2.7799967718602e-08,-0.000166733220882234,2.7799967718602e-08
1.74591901151821e-08,-0.000132133227502997,1.74591901151821e-08
1.09648802973829e-08,-0.000104713323780473,1.09648802973829e-08
6.88626441732548e-09,-8.29835186642796e-05,6.88626441732548e-09
4.32477475971156e-09,-6.5763019555126e-05,4.32477475971156e-09
