Z2_real,Z2_imag,Z2_KK_real
-1.94608714026917,0.000489105053738307,-1.94608714026917
-1.94608709021459,0.000617180569221808,-1.94608709021459
-1.94608701051355,0.000778793530520035,-1.94608701051355
-1.94608688360695,0.000982725939105759,-1.94608688360695
-1.94608668153579,0.00124005941434203,-1.94608668153578
-1.94608635978138,0.00156477735452363,-1.94608635978138
-1.94608584745748,0.00197452476811069,-1.94608584745748
-1.94608503169322,0.00249156705226739,-1.94608503169322
-1.94608373276648,0.00314399979451162,-1.94608373276648
-1.94608166450948,0.00396727528959043,-1.94608166450948
-1.94607837126371,0.00500612862524502,-1.94607837126371
-1.94607312749598,0.00631700780519306,-1.94607312749598
-1.94606477796231,0.00797113957038515,-1.94606477796231
-1.94605148321318,0.0100583967284114,-1.94605148321318
-1.94603031438951,0.0126921755613425,-1.94603031438951
-1.94599660808355,0.0160155451758215,-1.94599660808355
-1.94594293924771,0.0202089965742386,-1.94594293924771
-1.94585748616181,0.0255001997222417,-1.94585748616181
-1.94572142797972,0.0321762730834083,-1.94572142797972
-1.94550480337447,0.0405991806786557,-1.94550480337447
-1.94515992263288,0.0512249896086907,-1.94515992263288
-1.94461089381867,0.0646278263020078,-1.94461089381867
-1.94373698592118,0.0815294157360298,-1.94373698592118
-1.94234624072197,0.102834972321022,-1.94234624072197
-1.94013371458243,0.129675719915079,-1.94013371458243
-1.93661564236099,0.163457015313662,-1.93661564236099
-1.93102625881765,0.205908066382939,-1.93102625881765
-1.92215765869394,0.259122889226011,-1.92215765869394
-1.90811518357408,0.325569288643214,-1.90811518357408
-1.88595365327356,0.408017716297183,-1.88595365327356
-1.85116108291491,0.5092960958218,-1.85116108291491
-1.79698733450339,0.631699564845331,-1.79698733450339
-1.71372369947884,0.775773912385008,-1.71372369947884
-1.58831683913541,0.938093192290178,-1.58831683913541
-1.40526068799021,1.10775163499294,-1.40526068799021
-1.15050703093183,1.26205995634243,-1.15050703093183
-0.820402997043655,1.3640712792692,-0.820402997043655
-0.43519007567777,1.36783700818123,-0.43519007567777
-0.0490621525582809,1.23771820486638,-0.0490621525582809
0.259334101081443,0.97777232143256,0.259334101081443
0.424312124089997,0.647589680950714,0.424312124089997
0.435843995814769,0.338391666008908,0.435843995814769
0.345460522998994,0.119856878970611,0.345460522998994
0.226180005884023,0.00585483819264513,0.226180005884023
0.127703287034816,-0.033034353600122,0.127703287034816
0.0644541367037429,-0.0349413750128076,0.0644541367037429
0.0299871291839294,-0.025430577198163,0.0299871291839294
0.0131814857385498,-0.0157753779990524,0.0131814857385498
0.00557649104811313,-0.00897237484158991,0.00557649104811313
0.00230039727878739,-0.00484878407531778,0.00230039727878739
0.000933573022488737,-0.00254006444102148,0.000933573022488737
0.000374927582365227,-0.00130529339541961,0.000374927582365227
0.000149573547756337,-0.00066279015539595,0.000149573547756337
5.94198384928536e-05,-0.000334039765241089,5.94198384928536e-05
2.354249740355e-05,-0.000167566889624009,2.354249740355e-05
9.31205456866937e-06,-8.38116627076075e-05,9.31205456866937e-06
3.67942803764325e-06,-4.18428884977767e-05,3.67942803764325e-06
1.45287081271593e-06,-2.08659130605754e-05,1.45287081271593e-06
5.73446089874855e-07,-1.03977252363033e-05,5.73446089874855e-07
2.26279080990746e-07,-5.17894902288334e-06,2.26279080990746e-07
8.92739463456993e-08,-2.57881882071952e-06,8.92739463456994e-08
3.52176325167974e-08,-1.28387308173384e-06,3.52176325167974e-08
1.38920832780322e-08,-6.39108237062936e-07,1.38920832780322e-08
5.47970128758429e-09,-3.18123682972484e-07,5.4797012875843e-09
2.16140058995719e-09,-1.58342787708095e-07,2.16140058995719e-09
8.52524089089685e-10,-7.88112924493649e-08,8.52524089089685e-10
3.3625880455969e-10,-3.92257268595959e-08,3.3625880455969e-10
1.32628822513821e-10,-1.9523099561108e-08,1.32628822513821e-10
5.23118925543798e-11,-9.71680608091475e-09,5.23118925543798e-11
2.0632975556278e-11,-4.83611273704327e-09,2.0632975556278e-11
8.13809232077093e-12,-2.40695578703991e-09,8.13809232077093e-12
3.20983665474664e-12,-1.1979510309192e-09,3.20983665474664e-12
1.26602704367358e-12,-5.9622413369247e-10,1.26602704367358e-12
4.99347482001138e-13,-2.96742494726665e-10,4.99347482001138e-13
1.96953017748423e-13,-1.47689544661637e-10,1.96953017748423e-13
7.76823487466385e-14,-7.35054674632047e-11,7.76823487466384e-14
3.06395240535713e-14,-3.6583854702207e-11,3.06395240535713e-14
1.20848608790469e-14,-1.82078739231408e-11,1.20848608790469e-14
4.76651845682857e-15,-9.06210276693056e-12,4.76651845682857e-15
1.88001317382483e-15,-4.51023021695875e-12,1.88001317382483e-15
7.41515953988487e-16,-2.2447523056897e-12,7.41515953988487e-16
2.92469176542603e-16,-1.1172185429868e-12,2.92469176542603e-16
1.15355870984514e-16,-5.56042311133909e-13,1.15355870984514e-16
4.54987328184169e-17,-2.76743571540638e-13,4.54987328184169e-17
1.79456378386424e-17,-1.3773592862521e-13,1.79456378386424e-17
7.07812936788484e-18,-6.85514965366295e-14,7.07812936788484e-18
2.79176007856936e-18,-3.41182414553077e-14,2.79176007856936e-18
1.10112770291396e-18,-1.69807291984218e-14,1.10112770291396e-18
4.3430745607108e-19,-8.45134894499767e-15,4.34307456071081e-19
1.71299810055413e-19,-4.20625628777435e-15,1.71299810055413e-19
6.75641748964473e-20,-2.09346366706553e-15,6.75641748964473e-20
2.66487028067946e-20,-1.04192180048033e-15,2.66487028067946e-20
1.05107975096738e-20,-5.18566935403997e-16,1.05107975096738e-20
4.14567512296613e-21,-2.58091985745739e-16,4.14567512296613e-21
1.63513969410781e-21,-1.28452989490564e-16,1.63513969410781e-21
6.44932788967942e-22,-6.39313555629644e-17,6.44932788967943e-22
2.54374781421513e-22,-3.18187863144759e-17,2.54374781421513e-22
1.00330655426022e-22,-1.58362849278155e-17,1.00330655426022e-22
3.95724779080981e-23,-7.88175632580154e-18,3.95724779080981e-23
1.56082007152657e-23,-3.9227686962088e-18,1.56082007152657e-23
