,Cycle,Cycle Type,Test Time,Current,Voltage,AH-IN,AH-OUT,WH-IN,WH-OUT,ACR,DCIR,T1_Start,T1_End,T1_Min,T1_Max,T1_Start.1,T1_End.1,T1_Min.1,T1_Max.1,Date
54,54,,  3d 00:17:32.21,-4.4997329671170005,2.499656672007,1.40313,1.4024345009830002,1.0956542905439999,5.049641306907,0,0,34.66907119751,27.334011077880998,27.267490386963,34.847595214844,27.267490386963,34.490539550781,27.250860214232997,34.490539550781,43639.5871654051
55,55,,  3d 01:11:17.02,-4.500114442664,2.4999618524450002,1.4028500000000002,1.4021220389309998,1.095587382066,5.048302526441,0,0,34.685298919678004,27.300748825073,27.250860214232997,34.928745269775,27.317378997803,34.490539550781,27.234231948853,34.490539550781,43639.6245010417
56,56,,  3d 02:04:59.74,-4.499961852445,2.499656672007,1.40239,1.401959520718,1.091849744411,5.047120279365,0,0,34.733985900879,27.350637435913,27.300748825073,34.798908233643,27.317378997803,34.458080291748,27.317378997803,34.458080291748,43639.6618120486
57,57,,  3d 02:58:41.90,-4.500038147555,2.499809262226,1.40218,1.401609506148,1.093105178544,5.046135825415,0,0,34.636608123779,27.300748825073,27.300748825073,34.896286010742,27.300748825073,34.474311828613,27.250860214232997,34.474311828613,43639.6991169444
58,58,,  3d 03:52:19.47,-4.500038147555,2.4999618524450002,1.40204,1.401347020804,1.0904246552399999,5.044994029072,0,0,34.750217437744006,27.350637435913,27.334011077880998,34.896286010742,27.317378997803,34.555458068848,27.300748825073,34.555458068848,43639.7363690278
59,59,,  3d 04:45:58.77,-4.500114442664,2.499809262226,1.40198,1.401047032175,1.091312903179,5.043642030326,0,0,34.766448974609,27.267490386963,27.267490386963,34.928745269775,27.200971603394,34.523002624512,27.200971603394,34.523002624512,43639.773640463
60,60,,  3d 05:39:41.15,-4.499961852445,2.499809262226,1.4015099999999998,1.4010220283430002,1.092799834846,5.0434773832,0,0,34.701526641846,27.300748825073,27.284120559692003,34.944976806641,27.334011077880998,34.506771087646,27.250860214232997,34.506771087646,43639.8109478935
61,61,,  3d 06:33:21.48,-4.499961852445,2.499809262226,1.4013600000000002,1.400459509352,1.093746966488,5.040905735368001,0,0,34.815139770508,27.334011077880998,27.250860214232997,34.944976806641,27.284120559692003,34.604148864746,27.284120559692003,34.604148864746,43639.8482316319
62,62,,  3d 07:27:01.49,-4.499885557336,2.4999618524450002,1.40078,1.4004220318790002,1.0919433242110002,5.04095970829,0,0,34.766448974609,27.267490386963,27.250860214232997,34.928745269775,27.250860214232997,34.555458068848,27.250860214232997,34.555458068848,43639.8855115741
63,63,,  3d 08:20:39.60,-4.500038147555,2.4999618524450002,1.40081,1.4001095389770002,1.091388949892,5.039765967456,0,0,34.766448974609,27.350637435913,27.350637435913,34.993663787842,27.383899688720998,34.458080291748,27.300748825073,34.458080291748,43639.9227694444
64,64,,  3d 09:14:17.30,-4.500190737774,2.499656672007,1.40055,1.3999594885370001,1.091347478631,5.039077113337,0,0,34.750217437744006,27.367267608642997,27.300748825073,34.896286010742,27.367267608642997,34.571689605713,27.300748825073,34.571689605713,43639.9600228009
65,65,,  3d 10:07:54.79,-4.500038147555,2.4999618524450002,1.4003800000000002,1.399584504991,1.09047510355,5.037157652745,0,0,34.782676696777,27.350637435913,27.317378997803,34.896286010742,27.284120559692003,34.523002624512,27.284120559692003,34.523002624512,43639.9972734375
66,66,,  3d 11:01:29.57,-4.499809262226,2.4999618524450002,1.3999,1.399184522944,1.089527995935,5.035404952325,0,0,34.685298919678004,27.284120559692003,27.284120559692003,34.961208343505994,27.250860214232997,34.555458068848,27.250860214232997,34.555458068848,43640.034492974504
67,67,,  3d 11:55:06.59,-4.499885557336,2.499809262226,1.39962,1.398659526324,1.09089451699,5.033369347766,0,0,34.750217437744006,27.284120559692003,27.284120559692003,34.961208343505994,27.317378997803,34.506771087646,27.317378997803,34.506771087646,43640.071738368104
68,68,,  3d 12:48:40.73,-4.499961852445,2.4999618524450002,1.399,1.398647026786,1.0905108903829999,5.033291518343,0,0,34.733985900879,27.267490386963,27.267490386963,34.880054473877,27.317378997803,34.53923034668,27.300748825073,34.53923034668,43640.1089503009
69,69,,  3d 13:42:15.06,-4.500114442664,2.4999618524450002,1.39894,1.398334479578,1.089119620985,5.031937360533,0,0,34.782676696777,27.267490386963,27.267490386963,34.928745269775,27.317378997803,34.53923034668,27.300748825073,34.53923034668,43640.146164583304
70,70,,  3d 14:35:51.05,-4.499961852445,2.499656672007,1.39903,1.3982345329449999,1.089785825071,5.03115239161,0,0,34.815139770508,27.234231948853,27.234231948853,34.977436065674,27.250860214232997,34.555458068848,27.184343338013,34.555458068848,43640.183398044
71,71,,  3d 15:29:25.21,-4.499961852445,2.4999618524450002,1.39846,1.3978594869890002,1.089623017408,5.029718447992,0,0,34.831367492676,27.317378997803,27.267490386963,34.977436065674,27.317378997803,34.53923034668,27.267490386963,34.53923034668,43640.220610335695
72,72,,  3d 16:22:57.56,-4.499961852445,2.499656672007,1.39825,1.3977470433480002,1.090750689977,5.029284047786,0,0,34.831367492676,27.383899688720998,27.350637435913,34.977436065674,27.383899688720998,34.604148864746,27.317378997803,34.604148864746,43640.2578014699
73,73,,  3d 17:16:30.06,-4.499961852445,2.4999618524450002,1.39804,1.3973845388400001,1.088699961765,5.02774648199,0,0,34.896286010742,27.383899688720998,27.350637435913,35.009895324706996,27.383899688720998,34.571689605713,27.317378997803,34.571689605713,43640.294994780095
74,74,,  3d 18:10:02.02,-4.500343327993,2.4999618524450002,1.3978700000000002,1.397146998567,1.088126628363,5.0268793576899995,0,0,34.863826751709,27.367267608642997,27.334011077880998,34.961208343505994,27.383899688720998,34.587917327880994,27.317378997803,34.587917327880994,43640.3321819329
75,75,,  3d 19:03:31.15,-4.499961852445,2.499656672007,1.3976,1.396947005031,1.087428900463,5.025838208018,0,0,34.896286010742,27.300748825073,27.300748825073,35.074813842773,27.317378997803,34.636608123779,27.267490386963,34.636608123779,43640.3693355093
