Cycle,Cycle Type,Test Time,Current,Voltage,AH-IN,AH-OUT,WH-IN,WH-OUT,ACR,DCIR,T1_Start,T1_End,T1_Min,T1_Max,T1_Start.1,T1_End.1,T1_Min.1,T1_Max.1,Date
72,,  3d 16:03:30.74,-4.500038147555,2.499656672007,1.41351,1.410572049537,1.081259979683,5.088380286537,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43606.4089864005
73,,  3d 16:56:04.66,-4.499961852445,2.499809262226,1.41299,1.412659597093,1.005860386583,5.097763749433,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43606.4455012731
74,,  3d 17:51:07.14,-4.499961852445,2.4999618524450002,1.4096300000000002,1.412609536119,1.082882342956,5.083600095659,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43606.4837358218
75,,  3d 18:44:17.23,-4.500038147555,2.499656672007,1.4150200000000002,1.416134570855,1.028862680367,5.102805386596001,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43606.520669583304
76,,  3d 19:37:10.99,-4.499961852445,2.499809262226,1.4167200000000002,1.3973470447049998,1.026916116556,5.031358761712,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43606.5574141667
77,,  3d 20:30:11.99,-4.499885557336,2.4999618524450002,1.3975899999999999,1.4176345621520001,1.039023462265,5.107001494812,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43606.594242847204
78,,  3d 21:23:05.87,-4.499961852445,2.499656672007,1.4176799999999998,1.416447100731,1.024674247928,5.118092032881,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43606.630988912
79,,  3d 22:16:24.91,-4.499885557336,2.4999618524450002,1.4169200000000002,1.4074845917070002,1.043983434524,5.063812225858,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43606.6680262847
80,,  3d 23:10:52.62,-4.500114442664,2.499656672007,1.40983,1.415072099953,1.095450998577,5.112156194842,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43606.7058584028
81,,  4d 00:04:28.88,-4.500038147555,2.499656672007,1.41326,1.402984570513,1.071292702031,5.043799297188,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43606.7430951157
