Cycle,Cycle Type,Test Time,Current,Voltage,AH-IN,AH-OUT,WH-IN,WH-OUT,ACR,DCIR,Date
14,,  1d 12:09:46.31,-4.500038147555,2.4999618524450002,1.4214799999999999,1.420134660728,1.081552337052,5.130867600382,0,0,43604.2463606944
15,,  1d 13:04:12.53,-4.500038147555,2.4999618524450002,1.4218099999999998,1.420672180477,1.090012224542,5.133915724495,0,0,43604.2841754514
16,,  1d 13:58:12.48,-4.499885557336,2.499809262226,1.41991,1.4145471104929999,1.085670663823,5.101353930127,0,0,43604.3216863542
17,,  1d 14:52:45.41,-4.500038147555,2.4999618524450002,1.41603,1.4172971355219999,1.116152315552,5.118805421524,0,0,43604.3595788773
18,,  1d 15:46:54.93,-4.499809262226,2.499656672007,1.41851,1.420184655534,1.112928536371,5.132237318553,0,0,43604.3972004745
19,,  1d 16:40:45.58,-4.499961852445,2.499809262226,1.41898,1.413297100718,1.081768956939,5.095767244007,0,0,43604.4346035764
20,,  1d 17:34:20.21,-4.4997329671170005,2.4999618524450002,1.41535,1.4141471671599999,1.062843183945,5.107915079957,0,0,43604.4718214815
21,,  1d 18:27:53.78,-4.499961852445,2.4999618524450002,1.4146299999999998,1.417484668727,1.058248352426,5.117607436545,0,0,43604.5090270833
22,,  1d 19:21:28.28,-4.499961852445,2.4999618524450002,1.41824,1.416234689291,1.05265486983,5.114206731534,0,0,43604.5462431829
23,,  1d 20:15:10.18,-4.500038147555,2.499504081788,1.41703,1.417559636356,1.0647587172050001,5.120311797554,0,0,43604.583545
24,,  1d 21:09:10.89,-4.499885557336,2.499809262226,1.41709,1.418672146914,1.083027518713,5.124366941282,0,0,43604.6210647685
25,,  1d 22:03:15.91,-4.499885557336,2.499656672007,1.4204,1.4197471711649998,1.072576059779,5.130445056047,0,0,43604.6586342708
26,,  1d 22:57:10.78,-4.499885557336,2.499809262226,1.41906,1.412397136618,1.071241339102,5.095916939478,0,0,43604.6960863889
27,,  1d 23:50:46.72,-4.499885557336,2.4999618524450002,1.4140499999999998,1.41647213565,1.062731745919,5.115501916206,0,0,43604.7333191204
28,,  2d 00:44:38.41,-4.499885557336,2.499656672007,1.41677,1.413559627724,1.0957428620929999,5.104446697559,0,0,43604.7707341667
29,,  2d 01:38:12.11,-4.499961852445,2.4999618524450002,1.4141299999999999,1.419022173056,1.055441494484,5.122421623404,0,0,43604.807941215295
30,,  2d 02:31:45.86,-4.500114442664,2.499809262226,1.4196300000000002,1.415622149581,1.049455836845,5.10971922368,0,0,43604.8451488194
31,,  2d 03:25:23.04,-4.499961852445,2.499504081788,1.41515,1.416059636153,1.067967559124,5.112538618201,0,0,43604.8823961921
32,,  2d 04:19:26.47,-4.500038147555,2.4999618524450002,1.41749,1.4175096794670001,1.070704167783,5.120689634311,0,0,43604.9199971759
33,,  2d 05:13:27.86,-4.500114442664,2.499809262226,1.41822,1.4172596854269999,1.068329877847,5.1196877937980005,0,0,43604.9574746181
34,,  2d 06:07:12.16,-4.500114442664,2.4999618524450002,1.41785,1.416084626047,1.090827903254,5.114816241139,0,0,43604.994804375
35,,  2d 07:01:13.52,-4.499809262226,2.499809262226,1.41553,1.413384623377,1.0962846707960001,5.098088507654,0,0,43605.0323315509
36,,  2d 07:55:08.70,-4.500114442664,2.499656672007,1.4145,1.416547132277,1.071107661405,5.116952338699,0,0,43605.0697874769
37,,  2d 08:48:36.16,-4.500038147555,2.499656672007,1.41626,1.410872102504,1.0559748133409999,5.09018438975,0,0,43605.1069220023
38,,  2d 09:41:50.21,-4.500038147555,2.4999618524450002,1.4122,1.4129596294659998,1.044804573027,5.100741937365,0,0,43605.1439013426
39,,  2d 10:34:59.86,-4.500038147555,2.499809262226,1.41359,1.413222145485,1.039045119785,5.1022986004,0,0,43605.1808302199
40,,  2d 11:29:05.37,-4.500038147555,2.499809262226,1.41241,1.410272135444,1.0694649662,5.087467241999,0,0,43605.218405150496
41,,  2d 12:22:24.98,-4.499961852445,2.499809262226,1.41107,1.415572099596,1.05855034195,5.112957027235,0,0,43605.2554492477
42,,  2d 13:15:46.21,-4.499885557336,2.499809262226,1.41627,1.410847116969,1.04841063566,5.088572297574,0,0,43605.292511782405
43,,  2d 14:09:12.66,-4.499885557336,2.499656672007,1.4106900000000002,1.4084096372119999,1.06567125808,5.079664345325,0,0,43605.3296349537
44,,  2d 15:02:20.33,-4.500038147555,2.499809262226,1.40998,1.4117596737720002,1.040434071834,5.095724990963,0,0,43605.366540509305
45,,  2d 15:55:42.51,-4.499961852445,2.4999618524450002,1.4118899999999999,1.4106721320939999,1.064698951558,5.0902681102619995,0,0,43605.4036142593
46,,  2d 16:48:55.45,-4.500114442664,2.4999618524450002,1.41101,1.4087846401570001,1.0519221890500001,5.083612228234999,0,0,43605.4405809375
47,,  2d 17:42:10.60,-4.500114442664,2.499809262226,1.40908,1.4129971861300001,1.0477250627930002,5.097034515953999,0,0,43605.4775733796
48,,  2d 18:35:17.43,-4.500038147555,2.499809262226,1.41354,1.4078471385690001,1.039399129514,5.0787271712269995,0,0,43605.5144693403
49,,  2d 19:28:58.37,-4.500038147555,2.499809262226,1.40826,1.4134346074380002,1.0615253612739999,5.104035033278,0,0,43605.5517601389
50,,  2d 20:22:09.61,-4.500038147555,2.499809262226,1.41354,1.404409629594,1.042161289514,5.060122214528,0,0,43605.5887072569
51,,  2d 21:16:02.98,-4.500114442664,2.4999618524450002,1.40444,1.410997149763,1.0704389442820001,5.087617935019,0,0,43605.6261418519
52,,  2d 22:09:12.10,-4.499809262226,2.499809262226,1.41212,1.4072471252579999,1.04080185263,5.074794801238,0,0,43605.6630646528
53,,  2d 23:02:31.60,-4.499961852445,2.4999618524450002,1.40671,1.4107096295230002,1.060353815072,5.091182910883,0,0,43605.7001071181
54,,  2d 23:55:47.43,-4.499885557336,2.499809262226,1.41145,1.4063221260730001,1.04654530082,5.065823386,0,0,43605.7371072569
55,,  3d 00:48:48.39,-4.500038147555,2.499656672007,1.40735,1.4086721104370001,1.03920028651,5.082348388988001,0,0,43605.773935219906
56,,  3d 01:41:57.99,-4.499961852445,2.4999618524450002,1.40878,1.407559624852,1.058622149332,5.076938209344,0,0,43605.8108631944
57,,  3d 02:35:40.04,-4.499961852445,2.4999618524450002,1.4077,1.409634617503,1.073344072635,5.0868953884909995,0,0,43605.8481670139
58,,  3d 03:28:58.57,-4.499809262226,2.499809262226,1.40949,1.407884577057,1.050951245032,5.07868127628,0,0,43605.8851984375
59,,  3d 04:22:30.98,-4.500038147555,2.4999618524450002,1.40865,1.407722118288,1.055921618765,5.078174975735,0,0,43605.9223904861
60,,  3d 05:15:57.81,-4.500114442664,2.499809262226,1.40839,1.407234655383,1.075541573901,5.076058677103,0,0,43605.9595179514
61,,  3d 06:09:28.02,-4.500038147555,2.499809262226,1.4066200000000002,1.408697074945,1.066226610001,5.081123190466,0,0,43605.996684490696
62,,  3d 07:02:39.43,-4.500038147555,2.499809262226,1.4094200000000001,1.4047970876440001,1.046199249566,5.063892877984,0,0,43606.0336334491
63,,  3d 07:55:53.87,-4.499961852445,2.499809262226,1.406,1.408934622416,1.07397451545,5.0851121701810005,0,0,43606.0706178588
64,,  3d 08:49:16.69,-4.500038147555,2.499809262226,1.4090399999999998,1.4085096483739998,1.055737170948,5.083271805646,0,0,43606.107698657404
65,,  3d 09:42:37.53,-4.500038147555,2.499656672007,1.40779,1.408534595982,1.051183813046,5.078652725727999,0,0,43606.1447566782
66,,  3d 10:35:37.14,-4.500038147555,2.499656672007,1.40924,1.4050096248269999,1.033649584794,5.062872190934,0,0,43606.1815690856
67,,  3d 11:28:31.75,-4.500038147555,2.4999618524450002,1.40516,1.405209582231,1.038509943965,5.065998065283,0,0,43606.218323796296
68,,  3d 12:21:19.12,-4.499961852445,2.4999618524450002,1.4064599999999998,1.406834634918,1.025590763218,5.075562088355,0,0,43606.2549945833
69,,  3d 13:14:16.08,-4.500038147555,2.499809262226,1.40689,1.406234635347,1.044952462099,5.07287259996,0,0,43606.2917764236
70,,  3d 14:07:12.00,-4.500038147555,2.4999618524450002,1.40637,1.405147126647,1.043923420302,5.067547134565,0,0,43606.3285459606
71,,  3d 15:00:49.73,-4.499961852445,2.499809262226,1.4052099999999998,1.4071971163850001,1.062871566291,5.07733299926,0,0,43606.3657996065
72,,  3d 15:54:00.57,-4.499961852445,2.4999618524450002,1.4068399999999999,1.404984605802,1.0457308115119999,5.063102411576,0,0,43606.4027420486
73,,  3d 16:47:18.26,-4.500038147555,2.4999618524450002,1.4061,1.406122133845,1.055393656181,5.072798525871001,0,0,43606.4397639005
74,,  3d 17:40:14.88,-4.500038147555,2.499809262226,1.4049,1.4005845754799997,1.047179892271,5.041312271542,0,0,43606.4765415741
75,,  3d 18:32:56.27,-4.499961852445,2.4999618524450002,1.4019,1.400822113666,1.030570480431,5.050344275772,0,0,43606.5131432755
76,,  3d 19:25:38.00,-4.499961852445,2.4999618524450002,1.40116,1.402559599454,1.027749521902,5.055876711578001,0,0,43606.549748588
77,,  3d 20:18:35.73,-4.499961852445,2.499809262226,1.40265,1.402159609416,1.050637356963,5.053577758922,0,0,43606.586539293996
78,,  3d 21:11:24.69,-4.499885557336,2.499809262226,1.40262,1.4063721071759998,1.028448845491,5.071042222813,0,0,43606.6232285764
79,,  3d 22:04:11.23,-4.499961852445,2.499809262226,1.4064800000000002,1.401472105544,1.02152881768,5.0498557355110005,0,0,43606.6598895602
80,,  3d 22:57:18.72,-4.500114442664,2.4999618524450002,1.40094,1.4050221127790001,1.051586316254,5.064419367472,0,0,43606.6967932986
81,,  3d 23:50:12.32,-4.500038147555,2.499656672007,1.4054799999999998,1.4002721191690002,1.030796500881,5.043791434129,0,0,43606.7335360648
82,,  4d 00:43:52.35,-4.500114442664,2.499809262226,1.3993,1.395359539357,1.0642026610100002,5.021575970187,0,0,43606.770816388904
83,,  4d 01:36:42.71,-4.500038147555,2.499809262226,1.39706,1.402009601418,1.049742759602,5.0542385256180005,0,0,43606.8075219097
84,,  4d 02:29:43.84,-4.500038147555,2.499656672007,1.4018199999999998,1.400284600007,1.068430573693,5.045613074549999,0,0,43606.8443518519
85,,  4d 03:22:28.68,-4.499809262226,2.499656672007,1.4006399999999999,1.400034615947,1.034445697287,5.044525128711,0,0,43606.8809933449
86,,  4d 04:15:15.13,-4.500114442664,2.499809262226,1.4006999999999998,1.4016346445730001,1.037731270958,5.053039427394,0,0,43606.9176534606
87,,  4d 05:08:29.86,-4.499961852445,2.4999618524450002,1.40061,1.397284592293,1.065509929503,5.028126088113,0,0,43606.9546411227
88,,  4d 06:01:22.03,-4.499961852445,2.4999618524450002,1.39802,1.397947093159,1.049167450165,5.033417527439,0,0,43606.9913670718
89,,  4d 06:54:28.01,-4.499961852445,2.499656672007,1.39855,1.4005470791999999,1.068477096082,5.047852548143,0,0,43607.0282534491
90,,  4d 07:47:30.83,-4.500038147555,2.4999618524450002,1.3992600000000002,1.397297099691,1.054286920369,5.031337213192,0,0,43607.0651029282
91,,  4d 08:40:14.01,-4.499961852445,2.4999618524450002,1.3989,1.400134657987,1.0363393401980001,5.0455292297979994,0,0,43607.1017252546
92,,  4d 09:33:26.96,-4.499885557336,2.4999618524450002,1.3988200000000002,1.3972220900830001,1.054824838062,5.0280861626740005,0,0,43607.1386919329
93,,  4d 10:26:29.36,-4.500038147555,2.4999618524450002,1.3975,1.397559572773,1.0510256643809999,5.033292412544,0,0,43607.1755368866
94,,  4d 11:19:54.31,-4.500038147555,2.499656672007,1.39837,1.39974711546,1.0580954407279999,5.043956187671,0,0,43607.2126424769
95,,  4d 12:12:59.61,-4.499885557336,2.499809262226,1.39943,1.398109573009,1.046659304511,5.036098272942,0,0,43607.249520717596
96,,  4d 13:05:57.82,-4.499885557336,2.499809262226,1.3993,1.398872112293,1.073009836542,5.040031595657,0,0,43607.2863168403
97,,  4d 13:59:00.95,-4.500038147555,2.499809262226,1.3981299999999999,1.3961845756340001,1.052856535809,5.023238455727999,0,0,43607.323170127296
98,,  4d 14:51:48.09,-4.500038147555,2.4999618524450002,1.39733,1.398472115028,1.060226695696,5.038540263586,0,0,43607.3598381366
99,,  4d 15:45:09.51,-4.499961852445,2.499809262226,1.39792,1.3968470672920001,1.055826824041,5.0304651586519995,0,0,43607.3969030324
100,,  4d 16:38:03.16,-4.499885557336,2.4999618524450002,1.39552,1.39327205821,1.050087049885,5.011097996230999,0,0,43607.4336467014
101,,  4d 17:31:15.85,-4.499885557336,2.499809262226,1.3938199999999998,1.395872077844,1.061263362414,5.022025333536,0,0,43607.4706104977
102,,  4d 18:24:07.47,-4.500038147555,2.4999618524450002,1.39654,1.39298457088,1.043744590989,5.008639189969999,0,0,43607.5073303009
103,,  4d 19:16:42.88,-4.499885557336,2.4999618524450002,1.39386,1.3989470942500002,1.02643778728,5.037196120729,0,0,43607.543862719904
104,,  4d 20:09:22.23,-4.499809262226,2.4999618524450002,1.39916,1.394434587464,1.025749532697,5.018414545462,0,0,43607.580440544
105,,  4d 21:02:45.94,-4.499885557336,2.499809262226,1.3948,1.396984602152,1.0712274205349999,5.0320869931550005,0,0,43607.617532037
106,,  4d 21:55:41.81,-4.499961852445,2.499809262226,1.3964,1.391184597998,1.04852218079,5.000673224394999,0,0,43607.6543011574
107,,  4d 22:48:10.05,-4.499885557336,2.499656672007,1.39202,1.389234572736,1.027098674906,4.99898413995,0,0,43607.690750509304
108,,  4d 23:40:56.38,-4.499809262226,2.4999618524450002,1.38817,1.3926220338,1.0555620054530002,5.010029320273,0,0,43607.7274091435
109,,  5d 00:34:04.73,-4.5002670328829995,2.4999618524450002,1.3926100000000001,1.395672049531,1.0572275165979999,5.026423043436,0,0,43607.7643228356
110,,  5d 01:26:50.04,-4.500038147555,2.4999618524450002,1.39662,1.395672062102,1.031698287707,5.023957432073,0,0,43607.8009697454
111,,  5d 02:19:38.01,-4.500114442664,2.499656672007,1.39573,1.392009583876,1.038094922899,5.005951474357,0,0,43607.8376474074
112,,  5d 03:12:12.33,-4.500038147555,2.4999618524450002,1.3932799999999999,1.394872093319,1.033300772667,5.022575321022,0,0,43607.8741671759
113,,  5d 04:05:22.24,-4.500038147555,2.499809262226,1.39464,1.394997095341,1.056018132405,5.0229240107990005,0,0,43607.911098773104
114,,  5d 04:58:10.18,-4.500038147555,2.4999618524450002,1.39425,1.3911845587920002,1.045640741303,5.003136146961,0,0,43607.9477761574
115,,  5d 05:51:20.91,-4.499809262226,2.4999618524450002,1.39126,1.3938845971309999,1.067718509884,5.01737146492,0,0,43607.984717152794
116,,  5d 06:44:10.10,-4.499809262226,2.4999618524450002,1.39442,1.391147064208,1.040742564474,5.0003455792930005,0,0,43608.0214090972
117,,  5d 07:37:14.91,-4.500190737774,2.499809262226,1.39173,1.3913970648449998,1.085501281885,5.0057827894699995,0,0,43608.0582817361
118,,  5d 08:29:54.62,-4.500190737774,2.4999618524450002,1.3917100000000002,1.390659599215,1.0375880469299998,5.002210468307,0,0,43608.0948639005
119,,  5d 09:23:14.98,-4.499809262226,2.499656672007,1.39039,1.3927221049079999,1.064242386676,5.0128476663559995,0,0,43608.1319164931
120,,  5d 10:16:21.97,-4.499961852445,2.499809262226,1.3928200000000002,1.3929470835,1.050956327367,5.014142294507,0,0,43608.168814259305
121,,  5d 11:09:07.28,-4.499961852445,2.4999618524450002,1.3925500000000002,1.3890845275760002,1.043014150174,4.991842979607,0,0,43608.2054611806
122,,  5d 12:01:52.27,-4.499885557336,2.499809262226,1.39015,1.38712206979,1.055347631013,4.989386299502001,0,0,43608.2421044792
123,,  5d 12:54:47.07,-4.500190737774,2.4999618524450002,1.38631,1.391509531272,1.06165212222,5.005189116278,0,0,43608.278861169
124,,  5d 13:47:31.11,-4.500114442664,2.499809262226,1.3921199999999998,1.386709571162,1.039672540055,4.981276117169999,0,0,43608.3154934375
125,,  5d 14:39:59.95,-4.500038147555,2.4999618524450002,1.3878,1.3911595902259999,1.035860188347,5.005924483792,0,0,43608.3519498264
126,,  5d 15:33:06.07,-4.500038147555,2.4999618524450002,1.3901299999999999,1.389147085074,1.064163582307,4.992602157695,0,0,43608.3888376505
127,,  5d 16:26:24.13,-4.500114442664,2.499656672007,1.38946,1.386372091076,1.061850291814,4.983180646212,0,0,43608.4258636574
128,,  5d 17:18:53.11,-4.500038147555,2.499656672007,1.38722,1.387247093325,1.026088156511,4.988751512007,0,0,43608.4623215625
129,,  5d 18:11:34.58,-4.499885557336,2.4999618524450002,1.3866299999999998,1.385647037242,1.044498801709,4.976713169121,0,0,43608.4989239931
130,,  5d 19:04:31.34,-4.499885557336,2.4999618524450002,1.3856700000000002,1.385659551898,1.080462569406,4.976122330808,0,0,43608.535703472204
131,,  5d 19:56:54.97,-4.499961852445,2.499809262226,1.3867,1.3878470690759999,1.024202494736,4.989556976364,0,0,43608.5720993519
132,,  5d 20:50:07.70,-4.500038147555,2.4999618524450002,1.38724,1.3895845645640001,1.0707247052889999,4.998452276201999,0,0,43608.609063680604
133,,  5d 21:42:47.95,-4.499885557336,2.4999618524450002,1.38986,1.3831970427340001,1.037389261207,4.962567739875,0,0,43608.6456519907
134,,  5d 22:35:27.92,-4.499961852445,2.499809262226,1.38418,1.388972068734,1.067057859079,4.995650934277,0,0,43608.6822372338
135,,  5d 23:28:10.02,-4.500038147555,2.4999618524450002,1.38798,1.384347049577,1.049950569053,4.968323354463,0,0,43608.7188470718
136,,  6d 00:20:56.25,-4.499961852445,2.4999618524450002,1.38479,1.3846095219710002,1.053817139914,4.968642521943,0,0,43608.755504837995
137,,  6d 01:13:20.85,-4.500114442664,2.4999618524450002,1.3856099999999998,1.3842720532100001,1.029109880238,4.974252298478,0,0,43608.7919117477
138,,  6d 02:06:28.52,-4.499961852445,2.4999618524450002,1.38339,1.387322062596,1.080882605001,4.988090144336,0,0,43608.8288174769
139,,  6d 02:59:06.49,-4.500190737774,2.4999618524450002,1.3874799999999998,1.380722063363,1.043904345821,4.9568352375760005,0,0,43608.8653795602
140,,  6d 03:52:10.77,-4.500038147555,2.499809262226,1.3822299999999998,1.3883095440389999,1.055613914398,4.993375215653,0,0,43608.902246041696
141,,  6d 04:44:50.42,-4.499961852445,2.499809262226,1.3875799999999998,1.3813095255849999,1.042234629034,4.957724545692,0,0,43608.9388273032
142,,  6d 05:37:30.84,-4.500038147555,2.4999618524450002,1.38147,1.3815220583399999,1.0550045166,4.954677576597,0,0,43608.9754179745
143,,  6d 06:30:00.45,-4.499961852445,2.499809262226,1.3832600000000002,1.3873220342800001,1.0473222458759999,4.9888506445630005,0,0,43609.0118829398
144,,  6d 07:22:49.73,-4.499961852445,2.499656672007,1.3861299999999999,1.387284562908,1.055960487838,4.9874925151800005,0,0,43609.0485756134
145,,  6d 08:15:27.44,-4.500114442664,2.4999618524450002,1.3880299999999999,1.383922044693,1.0366233728110001,4.968798965353,0,0,43609.0851348032
146,,  6d 09:08:39.84,-4.500114442664,2.4999618524450002,1.3842200000000002,1.384234537985,1.065351464613,4.97293590305,0,0,43609.122095173596
147,,  6d 10:01:41.24,-4.500038147555,2.4999618524450002,1.38353,1.382522021576,1.0613481846439998,4.962012274476,0,0,43609.1589283796
148,,  6d 10:54:19.30,-4.499885557336,2.499809262226,1.3842,1.385134599409,1.074344094016,4.978432148435,0,0,43609.1954913773
149,,  6d 11:47:05.23,-4.499961852445,2.4999618524450002,1.38541,1.384747016583,1.069429064478,4.975887034444,0,0,43609.2321453472
150,,  6d 12:40:06.49,-4.499656672007,2.499656672007,1.38389,1.381347038416,1.0590905440440002,4.95400263047,0,0,43609.2689771065
151,,  6d 13:32:53.82,-4.500038147555,2.4999618524450002,1.38154,1.3842845291699999,1.055513368544,4.970175965223,0,0,43609.3056473495
152,,  6d 14:25:27.35,-4.499961852445,2.4999618524450002,1.3848200000000002,1.3819470564449998,1.039907740595,4.957707128031,0,0,43609.3421580671
153,,  6d 15:18:05.40,-4.500038147555,2.499809262226,1.38195,1.3842595535339999,1.044133779129,4.973969381998,0,0,43609.378721030094
