Cycle,Cycle Type,Test Time,Current,Voltage,AH-IN,AH-OUT,WH-IN,WH-OUT,ACR,DCIR,T1_Start,T1_End,T1_Min,T1_Max,T1_Start.1,T1_End.1,T1_Min.1,T1_Max.1,Date
10,,  1d 08:38:29.05,-4.500114442664,2.499809262226,1.4152799999999999,1.414309563592,1.156534220301,5.0930070931569995,0,0,36.519271850586,27.53356552124,27.53356552124,36.811408996581996,27.566823959351,36.12975692749,27.566823959351,36.12975692749,43623.8013848264
11,,  1d 09:33:30.50,-4.500038147555,2.4999618524450002,1.4149699999999998,1.414534555871,1.153820430548,5.093892327893999,0,0,36.45435333252,27.61671257019,27.61671257019,36.778949737549,27.61671257019,36.12975692749,27.600082397460998,36.12975692749,43623.8396074306
12,,  1d 10:28:29.20,-4.499961852445,2.499809262226,1.4151200000000002,1.414472019976,1.152198044532,5.093775647686,0,0,36.356971740723,27.61671257019,27.61671257019,36.746490478516,27.61671257019,36.194671630859,27.566823959351,36.194671630859,43623.877798206
13,,  1d 11:23:23.30,-4.499961852445,2.4999618524450002,1.41507,1.4143595310910002,1.150256460679,5.093247388177001,0,0,36.470581054688,27.566823959351,27.566823959351,36.778949737549,27.550193786620998,36.145984649658,27.550193786620998,36.145984649658,43623.9159357986
14,,  1d 12:18:10.80,-4.500190737774,2.499656672007,1.41493,1.414322066966,1.144932069794,5.093110894094,0,0,36.45435333252,27.600082397460998,27.600082397460998,36.714031219482,27.600082397460998,36.145984649658,27.583454132079996,36.145984649658,43623.9539968981
15,,  1d 13:12:55.40,-4.499885557336,2.499809262226,1.41501,1.41437204046,1.1443163242649999,5.093495177208,0,0,36.438121795654,27.61671257019,27.600082397460998,36.762718200684,27.600082397460998,36.145984649658,27.583454132079996,36.145984649658,43623.9920244097
16,,  1d 14:07:41.26,-4.499961852445,2.499809262226,1.41509,1.4143970576309999,1.145391643228,5.093595289101,0,0,36.421894073486,27.633342742920004,27.633342742920004,36.714031219482,27.600082397460998,36.09729385376,27.583454132079996,36.09729385376,43624.0300665046
17,,  1d 15:02:23.10,-4.499885557336,2.4999618524450002,1.4149500000000002,1.4143345485730001,1.141112260331,5.093395419009,0,0,36.389430999755994,27.666601181029996,27.666601181029996,36.697799682617,27.649971008301,36.064834594727,27.649971008301,36.064834594727,43624.0680621296
18,,  1d 15:57:05.11,-4.499961852445,2.499809262226,1.4149299999999998,1.414259533056,1.139933031377,5.09304837154,0,0,36.389430999755994,27.649971008301,27.633342742920004,36.665340423584,27.633342742920004,36.113525390625,27.633342742920004,36.113525390625,43624.1060595486
19,,  1d 16:51:42.27,-4.5002670328829995,2.4999618524450002,1.41472,1.4140470465759998,1.1400579482989999,5.092183275297,0,0,36.405662536621,27.649971008301,27.649971008301,36.714031219482,27.649971008301,36.162216186523,27.61671257019,36.162216186523,43624.1440009144
20,,  1d 17:46:19.17,-4.499961852445,2.499809262226,1.41464,1.414022018444,1.137308561136,5.092188975982,0,0,36.438121795654,27.633342742920004,27.633342742920004,36.73025894165,27.649971008301,36.145984649658,27.600082397460998,36.145984649658,43624.1819395139
21,,  1d 18:40:53.38,-4.499961852445,2.499809262226,1.41457,1.413947026865,1.13540158613,5.091904731489,0,0,36.421894073486,27.600082397460998,27.600082397460998,36.697799682617,27.583454132079996,36.12975692749,27.583454132079996,36.12975692749,43624.2198468634
22,,  1d 19:35:26.97,-4.500038147555,2.4999618524450002,1.41457,1.413959520388,1.1332155080589998,5.091841204247,0,0,36.421894073486,27.633342742920004,27.633342742920004,36.649108886719,27.61671257019,36.145984649658,27.61671257019,36.145984649658,43624.2577468056
23,,  1d 20:29:57.80,-4.500038147555,2.4999618524450002,1.4144199999999998,1.413759538578,1.132320322363,5.091032595226,0,0,36.438121795654,27.566823959351,27.566823959351,36.746490478516,27.566823959351,36.194671630859,27.550193786620998,36.194671630859,43624.2956150926
24,,  1d 21:24:26.83,-4.500114442664,2.499656672007,1.41429,1.41360953824,1.131524345081,5.090289724402,0,0,36.486808776855,27.61671257019,27.61671257019,36.73025894165,27.61671257019,36.178443908691,27.583454132079996,36.178443908691,43624.3334622222
25,,  1d 22:18:52.21,-4.500038147555,2.499656672007,1.4141,1.413384536349,1.128205401375,5.089503034556,0,0,36.45435333252,27.68323135376,27.68323135376,36.795177459717,27.649971008301,36.194671630859,27.649971008301,36.194671630859,43624.3712673958
26,,  1d 23:13:16.54,-4.500038147555,2.4999618524450002,1.4139700000000002,1.413247019169,1.127589218318,5.08905638179,0,0,36.486808776855,27.566823959351,27.566823959351,36.762718200684,27.566823959351,36.064834594727,27.566823959351,36.064834594727,43624.4090604514
