Res_Real	Res_Imag	Fit_Real	Fit_Imag	freq	Data_Real	Data_Imag
0.331881444	0.390853318	0.049371942	-0.026930008	0.0031623	0.049558786	-0.026709964
-0.314800982	-0.046292334	0.047901593	-0.023753155	0.0039811	0.047733715	-0.023777842
-0.4177298	-0.018799185	0.046135149	-0.021106729	0.0050119	0.045924002	-0.021116232
-0.233391984	-0.007878762	0.044271793	-0.01872516	0.0063096	0.044159841	-0.018728939
-0.000809232	-0.130625868	0.042516687	-0.016529807	0.0079433	0.042516317	-0.016589422
0.019708297	-0.23878059	0.040962305	-0.014566066	0.01	0.040970881	-0.014669978
-0.059943999	-0.211801095	0.039575692	-0.012868224	0.012589	0.039550744	-0.012956374
-0.059017121	-0.095309185	0.038297841	-0.011388441	0.015849	0.038274267	-0.011426511
0.025507969	-0.032805358	0.037132205	-0.010050654	0.019953	0.03714202	-0.010063278
0.066413237	-0.076875802	0.036123909	-0.008832514	0.025119	0.036148628	-0.008861126
0.019795877	-0.142246394	0.035283642	-0.007767941	0.031623	0.035290797	-0.007819358
0.002525724	-0.138795299	0.034565112	-0.00688176	0.039811	0.034566003	-0.006930691
0.033854466	-0.074650539	0.033913495	-0.006150459	0.050119	0.033925169	-0.006176201
0.076677617	-0.028422675	0.033310289	-0.00553088	0.063096	0.033336201	-0.005540485
0.095574577	-0.049920214	0.032761468	-0.005002634	0.079433	0.032793175	-0.005019195
0.083156669	-0.064119504	0.032261	-0.004567341	0.1	0.032288119	-0.004588252
0.043287094	-0.043166739	0.031784784	-0.004218277	0.12589	0.03179867	-0.004232124
0.066132628	0.011761448	0.031315634	-0.003929407	0.15849	0.03133652	-0.003925692
0.098394138	0.007245865	0.030858564	-0.003675974	0.19953	0.030889171	-0.00367372
0.094007973	0.017792782	0.030425821	-0.003452424	0.25119	0.030454634	-0.003446971
0.081678034	0.021822018	0.03001744	-0.003264253	0.31623	0.030042121	-0.003257658
0.070961038	0.057247979	0.029623993	-0.003109891	0.39811	0.029645144	-0.003092828
0.074327933	0.079174619	0.029242544	-0.002979606	0.50119	0.029264406	-0.002956318
0.084555306	0.093004681	0.02888003	-0.002870319	0.63096	0.028904588	-0.002843306
0.046903737	0.14496846	0.028539085	-0.00279193	0.79433	0.028552539	-0.002750346
0.02073788	0.231458312	0.028207616	-0.002754839	1	0.028213494	-0.002689241
-0.1109274	0.078386701	0.027867313	-0.00275572	1.2589	0.027836286	-0.002733795
-0.115867799	0.115632225	0.027509462	-0.002780208	1.5849	0.027477466	-0.002748276
-0.146305841	0.107859158	0.027138651	-0.002817808	1.9953	0.027098795	-0.002788425
-0.102637811	0.029298226	0.026761127	-0.002870326	2.5119	0.026733532	-0.002862449
-0.142862261	-0.049463816	0.026373206	-0.002945859	3.1623	0.026335346	-0.002958967
-0.224986127	-0.088943282	0.025960956	-0.003046901	3.9811	0.025902272	-0.003070101
0.015168885	-0.124764439	0.025508628	-0.003163721	5.0119	0.025512528	-0.0031958
-0.032412498	-0.086577159	0.025008457	-0.003276349	6.3096	0.025000283	-0.003298181
0.019530573	-0.069600913	0.024465818	-0.003362483	7.9433	0.024470643	-0.003379676
0.011092516	-0.057690895	0.023897487	-0.003406379	10	0.023900165	-0.003420308
-0.002585708	-0.031819708	0.023324727	-0.003403734	12.589	0.023324118	-0.003411235
-0.006437523	0.000608444	0.022765588	-0.003360594	15.849	0.022764106	-0.003360454
-0.088672525	0.048804512	0.022231283	-0.003288547	19.953	0.022211374	-0.003277589
-0.065849389	-0.14543576	0.021725812	-0.003199592	25.119	0.021711358	-0.003231516
-0.000441001	-0.07661908	0.021248607	-0.003103181	31.623	0.021248512	-0.003119636
-0.071491275	-0.035679265	0.020797548	-0.003006357	39.811	0.020782535	-0.00301385
-0.03270585	-0.054202327	0.020369245	-0.002915233	50.119	0.020362517	-0.002926384
-0.018443311	-0.093048241	0.0199575	-0.002834782	63.096	0.019953783	-0.002853538
-0.051300509	-0.111331288	0.019553164	-0.002765835	79.433	0.019543037	-0.002787812
-0.085193007	-0.105026639	0.019147921	-0.002702709	100	0.019131458	-0.002723004
0.050189708	-0.108699692	0.018739243	-0.002635643	125.89	0.018748747	-0.002656227
0.045953622	-0.098045554	0.018330648	-0.00255658	158.49	0.018339158	-0.002574737
-0.013087288	-0.083416886	0.017927348	-0.002462117	199.53	0.01792498	-0.002477211
-0.020667842	-0.08158257	0.01753215	-0.00235063	251.19	0.017528495	-0.00236506
0.003801306	-0.086598981	0.017146962	-0.002218644	316.23	0.01714762	-0.002233619
-0.013933362	-0.096792094	0.016776331	-0.002062116	398.11	0.016773976	-0.002078476
0.185798606	-0.13849599	0.016425993	-0.00188023	501.19	0.016456773	-0.001903174
-0.03176003	-0.092913955	0.016097725	-0.001674572	630.96	0.016092586	-0.001689607
0.114658097	-0.052805767	0.015788412	-0.001442554	794.33	0.015806612	-0.001450936
0.116987771	0.02052608	0.015496984	-0.001173514	1000	0.015515186	-0.001170321
0.129297233	0.050609122	0.015231628	-0.000854299	1258.9	0.015251378	-0.000846569
0.070189853	0.046880894	0.015007454	-0.000478898	1584.9	0.015018001	-0.000471854
-0.109212927	0.069329368	0.014836351	-5.149E-05	1995.3	0.014820165	-4.12152E-05
