Res_Real	Res_Imag	Fit_Real	Fit_Imag	freq	Data_Real	Data_Imag
0.087697134	0.089711998	0.04939163	-0.020431096	0.0031623	0.049438526	-0.020383122
-0.113445078	-0.023096486	0.047827036	-0.018208887	0.0039811	0.047769036	-0.018220695
-0.09736563	-0.005044625	0.046200934	-0.016254229	0.0050119	0.046153291	-0.016256697
-0.000172589	-0.004121547	0.044633598	-0.01448565	0.0063096	0.044633517	-0.014487584
-0.007632013	-0.056816729	0.043191788	-0.012898056	0.0079433	0.043188348	-0.01292367
0.003240125	-0.073303316	0.04187291	-0.011496445	0.01	0.041874318	-0.011528283
-0.003512173	-0.036847292	0.040650422	-0.010248061	0.012589	0.040648949	-0.010263509
0.01671172	-0.011833401	0.039528259	-0.009100306	0.015849	0.039535039	-0.009105107
0.045356048	-0.026364362	0.038540041	-0.008032192	0.019953	0.038557906	-0.008042576
0.04521174	-0.040592548	0.037702474	-0.007062948	0.025119	0.037719825	-0.007078527
0.058425941	-0.011272354	0.036994921	-0.006213675	0.031623	0.037016852	-0.006217906
0.046209096	0.037126012	0.036385706	-0.005480534	0.039811	0.036402716	-0.005466868
0.041632156	0.057362605	0.035858647	-0.004847585	0.050119	0.035873717	-0.004826822
0.019397053	0.046464072	0.035408121	-0.004309062	0.063096	0.03541504	-0.004292487
-0.009275846	0.02822547	0.035021091	-0.003868599	0.079433	0.035017823	-0.003858655
-0.011223272	0.021302728	0.034674688	-0.00352391	0.1	0.034670776	-0.003516486
-0.006377054	0.0284805	0.034349091	-0.003260757	0.12589	0.034346891	-0.003250931
0.004692054	0.030575112	0.034037095	-0.003062269	0.15849	0.034038699	-0.003051819
0.011146242	0.004662404	0.0337395	-0.002921443	0.19953	0.033743276	-0.002919864
-0.005335932	0.00735014	0.033451586	-0.002840956	0.25119	0.033449795	-0.002838489
-0.002099338	0.023365195	0.033158833	-0.00282027	0.31623	0.033158135	-0.002812494
0.016562079	0.041731925	0.032849113	-0.002848052	0.39811	0.032854575	-0.002834291
0.032704112	0.036024482	0.032523261	-0.002913413	0.50119	0.032533943	-0.002901646
0.010789225	0.029487092	0.032184836	-0.003020161	0.63096	0.032188324	-0.003010628
-0.031044178	0.069777787	0.03182179	-0.003178987	0.79433	0.031811866	-0.00315668
-0.046675889	0.169864164	0.03140969	-0.00338594	1	0.031394954	-0.003332312
-0.114247341	-0.002914945	0.030933907	-0.003619897	1.2589	0.030898365	-0.003620804
-0.103860651	-0.003207538	0.030396654	-0.003862799	1.5849	0.030364863	-0.003863781
-0.110902565	-0.015129848	0.029800049	-0.004109317	1.9953	0.029766723	-0.004113864
-0.093815682	-0.013038541	0.029134258	-0.004351494	2.5119	0.029106647	-0.004355331
-0.102110612	-0.019991413	0.028391264	-0.004564497	3.1623	0.02836193	-0.00457024
-0.090581493	-0.051186836	0.027583008	-0.004716565	3.9811	0.027557681	-0.004730878
-0.184855749	-0.091103816	0.026737979	-0.004788107	5.0119	0.026687849	-0.004812813
-0.15431764	-0.147709916	0.025886004	-0.004775314	6.3096	0.025845434	-0.004814147
-0.064693935	-0.181902721	0.02505252	-0.00468192	7.9433	0.025036036	-0.004728266
0.038533947	-0.1706414	0.024262095	-0.004516782	10	0.024271612	-0.004558924
-0.004036472	-0.139417703	0.023536955	-0.004298438	12.589	0.023535989	-0.004331802
-0.043051511	-0.077148678	0.022888292	-0.004054053	15.849	0.022878288	-0.004071981
-0.070566713	-0.009220681	0.022312908	-0.003810231	19.953	0.022296945	-0.003812316
-0.056573348	-0.218723454	0.02179813	-0.003584613	25.119	0.021785635	-0.003632921
-0.025281347	-0.165983786	0.021329894	-0.003385516	31.623	0.021324434	-0.003421364
-0.041787943	-0.151378505	0.020896472	-0.003216586	39.811	0.020887638	-0.003248585
-0.044798311	-0.165897235	0.02048669	-0.00307985	50.119	0.02047741	-0.003114212
0.115628656	-0.195285918	0.020087638	-0.002974552	63.096	0.020111152	-0.003014265
0.078107924	-0.158977074	0.019685954	-0.002893699	79.433	0.019701511	-0.002925363
0.063159639	-0.096270425	0.019273068	-0.002823206	100	0.01928538	-0.002841973
0.057443924	-0.052996466	0.018850136	-0.002746603	125.89	0.018861086	-0.002756705
0.054427057	-0.043928879	0.018427133	-0.002652909	158.49	0.018437272	-0.002661092
0.064263588	-0.077206656	0.018015695	-0.0025415	199.53	0.018027396	-0.002555558
0.026488245	-0.089411494	0.017619713	-0.002418288	251.19	0.017624426	-0.002434195
0.047929507	-0.064909942	0.017233774	-0.002285025	316.23	0.017242111	-0.002296316
0.049509587	-0.008215519	0.016852856	-0.002132914	398.11	0.016861271	-0.00213431
0.105474547	0.0146726	0.016482178	-0.001949139	501.19	0.016499702	-0.001946701
0.132389419	-0.014206622	0.016134314	-0.001728734	630.96	0.016155825	-0.001731042
-0.253460261	-0.015093319	0.015817057	-0.001475566	794.33	0.015776893	-0.001477958
0.151424636	-0.04144082	0.015528827	-0.001191523	1000	0.015552447	-0.001197987
0.101177273	-0.01079054	0.015266782	-0.000869457	1258.9	0.01528227	-0.000871109
0.082000919	0.026992154	0.015034706	-0.000498	1584.9	0.015047052	-0.000493936
-0.084189219	0.066882765	0.014840934	-6.98297E-05	1995.3	0.01482845	-5.99119E-05
