Time domain (s),Current (AC) (A),Potential (AC) (V),Frequency (Hz),Column 5
0,-0.0896724554305735,0.00022010281380247,0.01,0.3
0.244140625,-0.0938878121152107,5.93840176796867E-05,,
0.48828125,-0.0978917898280016,-0.000163856435667409,,
0.732421875,-0.102104067498703,-0.000338119664741843,,
0.9765625,-0.106065545488839,-0.000515757445370468,,
1.220703125,-0.110120513538471,-0.000712544650402158,,
1.46484375,-0.11409076205315,-0.000881873175662129,,
1.708984375,-0.118120724777488,-0.00108935175742975,,
1.953125,-0.12212530896272,-0.00126500034392718,,
2.197265625,-0.125986765651677,-0.00145242807998569,,
2.44140625,-0.129826575939633,-0.00161879664970854,,
2.685546875,-0.133601447024586,-0.00183236415904542,,
2.9296875,-0.137700081090031,-0.00199688510400842,,
3.173828125,-0.141504622672907,-0.00216902045875056,,
3.41796875,-0.145122743957505,-0.00234793091913943,,
3.662109375,-0.148794794637701,-0.00256543925751762,,
3.90625,-0.152513077178657,-0.00270232817245786,,
4.150390625,-0.156194691462743,-0.00291122678169886,,
4.39453125,-0.159815238637109,-0.00309986796951511,,
4.638671875,-0.163394732292334,-0.00327631396716743,,
4.8828125,-0.166914138524091,-0.00346030792366925,,
5.126953125,-0.170350691289945,-0.00363944807314054,,
5.37109375,-0.174014344659408,-0.0038351258365652,,
5.615234375,-0.177305717253031,-0.00400372484618527,,
5.859375,-0.180716564917697,-0.0041747420918079,,
6.103515625,-0.184118921968177,-0.00434270692842587,,
6.34765625,-0.187351326779761,-0.00453806110471566,,
6.591796875,-0.190672976343749,-0.00470263983309582,,
6.8359375,-0.194042677185822,-0.00485095830792437,,
7.080078125,-0.196973338631725,-0.00501891158785872,,
7.32421875,-0.200288923471295,-0.00520589728077736,,
7.568359375,-0.20314853433805,-0.00536404038108573,,
7.8125,-0.206356493645055,-0.00555755704471395,,
8.056640625,-0.209218297142946,-0.0057456882938749,,
8.30078125,-0.212203960974152,-0.00587968803796368,,
8.544921875,-0.214978292485237,-0.00602124729758513,,
8.7890625,-0.218008788625413,-0.00618349013133201,,
9.033203125,-0.220757135124952,-0.00636732373885174,,
9.27734375,-0.223208030217629,-0.00653930885670961,,
9.521484375,-0.226061249797881,-0.00669978351789524,,
9.765625,-0.228767982957565,-0.00683838426656491,,
10.009765625,-0.231442059908841,-0.00699569384108312,,
10.25390625,-0.233735645380448,-0.0071397594564182,,
10.498046875,-0.236292906409079,-0.00728128260140393,,
10.7421875,-0.238663420577349,-0.00743800134048289,,
10.986328125,-0.240938858527427,-0.00759778548983547,,
11.23046875,-0.243374638460784,-0.00773695107140648,,
11.474609375,-0.245491507193183,-0.00789041371493582,,
11.71875,-0.247837155991337,-0.00802730118529071,,
11.962890625,-0.24986669269211,-0.00815361573491469,,
12.20703125,-0.25172422447803,-0.00827683309338578,,
