Time domain (s),Current (AC) (A),Potential (AC) (V),Frequency (Hz),Column 5
0,-0.271881891835891,-0.00415372763179667,2511.9,0.5
1.24407818782595E-05,-0.328213430211891,-0.0049184933194617,,
2.4881563756519E-05,-0.371876523579922,-0.00553881927529298,,
3.73223456347785E-05,-0.401500704477083,-0.00595773365233754,,
4.97631275130379E-05,-0.414879875331486,-0.00609561153255944,,
6.22039093912974E-05,-0.412245453420935,-0.0060255417420727,,
7.46446912695569E-05,-0.393856123355137,-0.00574836232944742,,
8.70854731478164E-05,-0.360710480156412,-0.00519712386127047,,
9.95262550260759E-05,-0.313295856373874,-0.00447018885383299,,
0.000111967036904335,-0.254082288831201,-0.00357984811372569,,
0.000124407818782595,-0.185079394091482,-0.00256307709947956,,
0.000136848600660854,-0.109014757449272,-0.00142125824777173,,
0.000149289382539114,-0.0292187568567754,-0.000243970020722184,,
0.000161730164417373,0.0503521817344949,0.000917654597704765,,
0.000174170946295633,0.129875047451548,0.00208366866724896,,
0.000186611728173892,0.204695718588637,0.00319892927892207,,
0.000199052510052152,0.271605987622051,0.00414299442777377,,
0.000211493291930411,0.327806266458924,0.00496665878717817,,
0.000223934073808671,0.371458744029768,0.00553748664068143,,
0.00023637485568693,0.40017177709013,0.0059303013001677,,
0.00024881563756519,0.413902440894863,0.00612397982012025,,
0.000261256419443449,0.411197365350862,0.00603264969910455,,
0.000273697201321709,0.393906433002674,0.00572977070276703,,
0.000286137983199968,0.360219171121396,0.00521946781607729,,
0.000298578765078228,0.313443873960735,0.00450302902351796,,
0.000311019546956487,0.254407757101471,0.00358798645834391,,
0.000323460328834747,0.185649948809845,0.00256201236564024,,
0.000335901110713006,0.109833380980155,0.00142722934383377,,
0.000348341892591266,0.0303467296882875,0.000276240042608844,,
0.000360782674469525,-0.0494264061102682,-0.000914190778102508,,
0.000373223456347785,-0.129535981019665,-0.00208992655452267,,
0.000385664238226044,-0.204847641652724,-0.00317132863011338,,
0.000398105020104304,-0.271897513744795,-0.00414290512751636,,
0.000410545801982563,-0.328333292858388,-0.00494823889176255,,
0.000422986583860823,-0.371846131866237,-0.0055467223480794,,
0.000435427365739082,-0.400720603153382,-0.00592872995909888,,
0.000447868147617342,-0.41468083801032,-0.00610056597953657,,
0.000460308929495601,-0.412393506512135,-0.00602269272039679,,
0.00047274971137386,-0.393909734906147,-0.00570958712726632,,
0.00048519049325212,-0.360643092922097,-0.00517860092709599,,
0.00049763127513038,-0.313371551623379,-0.00447705123515707,,
0.000510072057008639,-0.253928910089239,-0.00357506368070082,,
0.000522512838886898,-0.185050848603394,-0.00252725052310732,,
0.000534953620765158,-0.108945594998035,-0.00143420163316721,,
0.000547394402643417,-0.0292728654685231,-0.000238830103979737,,
0.000559835184521677,0.0503159673093094,0.000924815791429001,,
0.000572275966399936,0.129838833026363,0.00208829510751096,,
0.000584716748278196,0.204774041159185,0.00319273664952879,,
0.000597157530156455,0.27157215198754,0.00412203290964541,,
0.000609598312034715,0.327714452239777,0.00492901872865437,,
0.000622039093912974,0.3711072155751,0.00553399706138968,,
0.000634479875791234,0.400216512556535,0.0059510189599008,,
0.000646920657669493,0.41374615079715,0.00609577467726075,,
0.000659361439547753,0.411530893105952,0.00605677107249747,,
0.000671802221426012,0.393378874038134,0.00570071033821096,,
0.000684243003304272,0.3605232302756,0.00522302608787495,,
0.000696683785182531,0.313511012664682,0.0044825414836791,,
0.000709124567060791,0.25445398375009,0.00357996660829807,,
0.00072156534893905,0.185582206532145,0.00253169836285405,,
0.00073400613081731,0.109840410839162,0.00144658002270237,,
0.000746446912695569,0.0303899739724796,0.000250511264581643,,
0.000758887694573829,-0.0494049614898643,-0.000923872986787533,,
0.000771328476452088,-0.129558987830959,-0.00208911598295458,,
0.000783769258330348,-0.204759093832712,-0.00317554463265335,,
0.000796210040208607,-0.272052028625586,-0.00413439069142907,,
0.000808650822086867,-0.328196956198866,-0.00496599590449787,,
0.000821091603965126,-0.3717778925278,-0.00554629645454341,,
0.000833532385843386,-0.401187485203567,-0.00593943740343228,,
0.000845973167721645,-0.414583414105703,-0.00608500369235987,,
0.000858413949599905,-0.412417720470935,-0.00600281654385926,,
0.000870854731478164,-0.394171117845574,-0.00570197084569157,,
0.000883295513356424,-0.360644300069603,-0.00520875693711886,,
0.000895736295234683,-0.313522232035621,-0.00446541987662163,,
0.000908177077112943,-0.253883606553419,-0.00357671573546403,,
0.000920617858991202,-0.184932832182496,-0.00256620947774122,,
0.000933058640869462,-0.108907321321222,-0.0014240214038157,,
0.000945499422747721,-0.0292894104902254,-0.000269614650429961,,
0.00095794020462598,0.050336275790884,0.000920148135663545,,
0.00097038098650424,0.129797612489461,0.00209566924800253,,
0.000982821768382499,0.204813450974828,0.00319000268780023,,
0.000995262550260759,0.271306331005811,0.00413255660152556,,
0.00100770333213902,0.327762099061933,0.00493179734051186,,
0.00102014411401728,0.371189940683612,0.00555275011545842,,
0.00103258489589554,0.4003675835165,0.0059408524690503,,
0.0010450256777738,0.414140888031672,0.00612288417465345,,
0.00105746645965206,0.411385467335796,0.0060271233870175,,
0.00106990724153032,0.393646186202077,0.00573317441642685,,
0.00108234802340858,0.360527064744149,0.00519902492636692,,
0.00109478880528683,0.313464786016062,0.00449094257713156,,
0.00110722958716509,0.254376868327048,0.00358255631576476,,
0.00111967036904335,0.185806274411895,0.00254834255699654,,
0.00113211115092161,0.10988195091511,0.00143462065745226,,
0.00114455193279987,0.0303802457837533,0.000254725549809098,,
0.00115699271467813,-0.0494137665657917,-0.000911542682005884,,
0.00116943349655639,-0.12946880681138,-0.00207953166109043,,
0.00118187427843465,-0.204843168106084,-0.00318263541655917,,
0.00119431506031291,-0.271891904059325,-0.00414243630116484,,
0.00120675584219117,-0.328230543303008,-0.00496564042078074,,
0.00121919662406943,-0.37201541655181,-0.00556452229363069,,
0.00123163740594769,-0.401159223750187,-0.00592220932299092,,
0.00124407818782595,-0.414631700005951,-0.00611081833601901,,
0.00125651896970421,-0.412403873778953,-0.0060263797906428,,
0.00126895975158247,-0.393975346923542,-0.005739506148144,,
0.00128140053346073,-0.360454067824364,-0.00518399500610967,,
0.00129384131533899,-0.313244375083169,-0.00448529777047213,,
0.00130628209721725,-0.254198530035179,-0.00357396803523402,,
0.00131872287909551,-0.185098566434227,-0.00254952063347025,,
0.00133116366097377,-0.109035705008938,-0.00137488221982984,,
0.00134360444285202,-0.0292392783643805,-0.000257497292416087,,
0.00135604522473028,0.050266225731187,0.00092161472066099,,
0.00136848600660854,0.129906255765017,0.00208487765535015,,
0.0013809267884868,0.204790195633165,0.00318906160047172,,
0.00139336757036506,0.271710796429059,0.00414597224789803,,
0.00140580835224332,0.327641739354699,0.00495056413308204,,
0.00141824913412158,0.37109755839505,0.00555044548189043,,
0.00143068991599984,0.400358458901527,0.00595329611646633,,
0.0014431306978781,0.41402138042856,0.00610886059960514,,
0.00145557147975636,0.41160832806804,0.00603114189860365,,
0.00146801226163462,0.393626161755209,0.00573711736625659,,
0.00148045304351288,0.360428433692027,0.0052045615423304,,
0.00149289382539114,0.313418843402151,0.00448729843970197,,
0.0015053346072694,0.254576154178584,0.00359625703603594,,
0.00151777538914766,0.185599923197015,0.00257010090819199,,
0.00153021617102592,0.109925195199302,0.0014246224632406,,
0.00154265695290418,0.0303505286524982,0.000285738498841059,,
0.00155509773478244,-0.0493651966308371,-0.00093228781874144,,
0.0015675385166607,-0.129447646225683,-0.00211184118116847,,
0.00157997929853895,-0.204776419949859,-0.00320820791913601,,
0.00159242008041721,-0.271746123245784,-0.00414230750271649,,
0.00160486086229547,-0.328228200016673,-0.0049574642952841,,
0.00161730164417373,-0.371809988449729,-0.00553199810947236,,
0.00162974242605199,-0.401072948207833,-0.00594326701062764,,
0.00164218320793025,-0.414633120179487,-0.00611116008123513,,
