Time domain (s),Current (AC) (A),Potential (AC) (V),Frequency (Hz),Column 5
0,-0.209550439806442,-0.00372965959950866,5011.9,0.5
6.23516031844211E-06,-0.256724699217896,-0.00426736220942825,,
1.24703206368842E-05,-0.293897386497246,-0.00465405808396513,,
1.87054809553263E-05,-0.319459729062133,-0.00489333812385739,,
2.49406412737684E-05,-0.33293930618558,-0.00493008689711916,,
3.11758015922105E-05,-0.333196215578366,-0.00475318136975744,,
3.74109619106526E-05,-0.320413375592017,-0.00439215760193035,,
4.36461222290948E-05,-0.295943643537578,-0.0038721742238681,,
4.98812825475369E-05,-0.259603959046172,-0.00322778528327383,,
5.6116442865979E-05,-0.213063381066786,-0.00242977585745319,,
6.23516031844211E-05,-0.158591772963105,-0.00157517754539827,,
6.85867635028632E-05,-0.0981502523719383,-0.000617394503148905,,
7.48219238213053E-05,-0.0342279574510328,0.000347135860477188,,
8.10570841397474E-05,0.0295080817105365,0.00126358662201875,,
8.72922444581895E-05,0.0933291537626149,0.00214314950797467,,
9.35274047766316E-05,0.154285842304215,0.00297822712720874,,
9.97625650950737E-05,0.209451950771673,0.00371895558980029,,
0.000105997725413516,0.256513945465052,0.00428781883763918,,
0.000112232885731958,0.293288061041331,0.00466704268486362,,
0.0001184680460504,0.319029025932795,0.0048626789412296,,
0.000124703206368842,0.332072893815187,0.00492547076073269,,
0.000130938366687284,0.332600878831788,0.00473387018907889,,
0.000137173527005726,0.320345313775271,0.00438264540719668,,
0.000143408687324168,0.295519473206509,0.00390312363233214,,
0.000149643847642611,0.259220476686928,0.00319928991457719,,
0.000155879007961053,0.213215623669919,0.00243306622847772,,
0.000162114168279495,0.158936058532736,0.00154230646408537,,
0.000168349328597937,0.0987450210491021,0.000621978010594493,,
0.000174584488916379,0.0350718600708695,-0.00029958175606204,,
0.000180819649234821,-0.0285777260266541,-0.00122107969946317,,
0.000187054809553263,-0.0928223293317103,-0.00214271502787611,,
0.000193289969871705,-0.154180855975515,-0.00299185915497446,,
0.000199525130190147,-0.209702469383544,-0.00370281456826271,,
0.00020576029050859,-0.256752321593185,-0.00430277319614047,,
0.000211995450827032,-0.293899587766227,-0.00468738081850262,,
0.000218230611145474,-0.319657062175055,-0.00488891947842518,,
0.000224465771463916,-0.333133159873338,-0.00487542311835876,,
0.000230700931782358,-0.333327368604479,-0.0047487798974517,,
0.0002369360921008,-0.320723825527136,-0.00438969325828698,,
0.000243171252419242,-0.295768394123151,-0.00387956897211206,,
0.000249406412737684,-0.259507032202293,-0.00322938066671963,,
0.000255641573056126,-0.213127075849906,-0.00242008162757967,,
0.000261876733374569,-0.158513805435941,-0.00155631286600766,,
0.000268111893693011,-0.0980623436300175,-0.000641684173181112,,
0.000274347054011453,-0.0341701563880897,0.00032818188082917,,
0.000280582214329895,0.029532295669337,0.00122250850358263,,
0.000286817374648337,0.0933857121737134,0.00216864129685712,,
0.000293052534966779,0.154356389424649,0.00298275052871233,,
0.000299287695285221,0.209467466167561,0.00369194913116599,,
0.000305522855603663,0.256296765426955,0.00422939586150184,,
0.000311758015922105,0.293320369989291,0.00466824480371386,,
0.000317993176240548,0.318983970927344,0.00488846954251221,,
0.00032422833655899,0.332056135767454,0.0049102004167052,,
0.000330463496877432,0.332472850187456,0.00474924357186479,,
0.000336698657195874,0.320148619740441,0.00442182417784931,,
0.000342933817514316,0.29555891852649,0.0038688529412152,,
0.000349168977832758,0.259552655277159,0.00321967098103215,,
0.0003554041381512,0.213171456272928,0.00243449503259763,,
0.000361639298469642,0.158888518223596,0.00155715434920278,,
0.000367874458788084,0.098674793467713,0.000616851832353049,,
0.000374109619106526,0.0351293415947668,-0.000320263352229677,,
0.000380344779424969,-0.0285180787381133,-0.00123985336128385,,
0.000386579939743411,-0.0927888132362446,-0.00215122087740038,,
0.000392815100061853,-0.154196406875742,-0.00300197240913302,,
0.000399050260380295,-0.209454436075362,-0.00370920297129729,,
0.000405285420698737,-0.256718805497719,-0.00424567426805122,,
0.000411520581017179,-0.293968324165403,-0.00464350691508253,,
0.000417755741335621,-0.319861212120954,-0.00486430008436578,,
0.000423990901654063,-0.332915589287517,-0.00491537124507557,,
0.000430226061972505,-0.333323037075192,-0.00475448824467906,,
0.000436461222290948,-0.32084688356409,-0.00438844477199485,,
0.00044269638260939,-0.29582584014271,-0.00388155246821542,,
0.000448931542927832,-0.259459172354107,-0.00321588258934069,,
0.000455166703246274,-0.213106625350978,-0.00242304227457701,,
0.000461401863564716,-0.158689409893753,-0.00155900389492025,,
0.000467637023883158,-0.0981587024044816,-0.000630185047719056,,
0.0004738721842016,-0.0341290423642027,0.000339681006291226,,
0.000480107344520042,0.0295012648775605,0.00126220246802822,,
0.000486342504838484,0.0933695576997336,0.00215203144896758,,
0.000492577665156927,0.154461446762026,0.00299427713117639,,
0.000498812825475369,0.209438920679474,0.00369435336886692,,
0.000505047985793811,0.256379703561497,0.00426083985600689,,
0.000511283146112253,0.293396207256149,0.00465438952530484,,
0.000517518306430695,0.319017558031486,0.00488237995187779,,
0.000523753466749137,0.33227672422204,0.00493104859219917,,
0.000529988627067579,0.332485560740609,0.00472943265320769,,
0.000536223787386021,0.320368924160319,0.00441626695413433,,
0.000542458947704463,0.295461636639228,0.00387959988373909,,
0.000548694108022906,0.259302207673965,0.00323142426876544,,
0.000554929268341348,0.213219032086407,0.00242928127141129,,
0.00056116442865979,0.158973373592413,0.00153884779642111,,
0.000567399588978232,0.0987590097584384,0.000615198060277322,,
0.000573634749296674,0.0350920620394289,-0.000328769201753509,,
0.000579869909615116,-0.0284945038574044,-0.00123393206728872,,
0.000586105069933558,-0.0928599639304325,-0.00217597765647115,,
0.000592340230252,-0.15426755756993,-0.00300257346855837,,
0.000598575390570442,-0.209519693049372,-0.00371374354592735,,
0.000604810550888885,-0.256678046517216,-0.00426928559958917,,
0.000611045711207327,-0.293822188308478,-0.00466940398974902,,
0.000617280871525769,-0.319545507543749,-0.00486605861251288,,
0.000623516031844211,-0.332914098105304,-0.00493363486504084,,
0.000629751192162653,-0.333228311500295,-0.00474966603077576,,
0.000635986352481095,-0.320574991340492,-0.00439848589902248,,
0.000642221512799537,-0.29573949359168,-0.0038760982832593,,
0.000648456673117979,-0.259457894197924,-0.00323482111317475,,
0.000654691833436421,-0.212994076598196,-0.00243916955761403,,
0.000660926993754863,-0.158570683386086,-0.00158231641405804,,
0.000667162154073306,-0.0979390015583564,-0.000616582214268302,,
0.000673397314391748,-0.0341990569195612,0.000327146341305262,,
0.00067963247471019,0.0295524976378964,0.00123785440936608,,
0.000685867635028632,0.0934093225587607,0.00215183567532629,,
0.000692102795347074,0.154367253752205,0.00298259940519952,,
0.000698337955665516,0.209542983895374,0.00373914431723898,,
0.000704573115983958,0.256424154993195,0.00426718017428751,,
0.0007108082763024,0.293447759555531,0.00464496491351651,,
0.000717043436620842,0.318893221838349,0.00487537675091687,,
0.000723278596939285,0.332119226976821,0.00490474623174864,,
0.000729513757257727,0.332517869688569,0.00476978950033402,,
0.000735748917576169,0.320034260266399,0.00439563172540813,,
0.000741984077894611,0.295287345841938,0.00388092221447467,,
0.000748219238213053,0.259238193351798,0.00322246333139065,,
0.000754454398531495,0.213293271658037,0.00245242377659727,,
0.000760689558849937,0.159047293624997,0.00152891486009032,,
0.000766924719168379,0.0987226178115609,0.000619029384785197,,
0.000773159879486821,0.0351445374516094,-0.000295479096156459,,
0.000779395039805264,-0.028541369584115,-0.00127000421936874,,
0.000785630200123706,-0.0928164356115331,-0.0021531768965013,,
0.000791865360442148,-0.154230846084006,-0.00299869749392156,,
0.00079810052076059,-0.209560096986491,-0.00371571158621675,,
0.000804335681079032,-0.256852372818844,-0.00428639003352016,,
0.000810570841397474,-0.293770351974389,-0.00466648799287972,,
0.000816806001715916,-0.319570715624025,-0.00489027272078824,,
0.000823041162034358,-0.332934974656293,-0.00489702175947793,,
0.0008292763223528,-0.333111431218226,-0.00475664003742171,,
0.000835511482671243,-0.320763590386164,-0.00440046939512584,,
0.000841746642989685,-0.295912541737125,-0.00388941432549794,,
0.000847981803308127,-0.259472806020059,-0.00322332370502565,,
0.000854216963626569,-0.213101299700216,-0.00244285147592205,,
0.000860452123945011,-0.158642757193072,-0.00154191491680322,,
0.000866687284263453,-0.0980964988035748,-0.000622745649346612,,
0.000872922444581895,-0.0342015422232504,0.00035983538747697,,
0.000879157604900337,0.0295363431639166,0.00122130638473195,,
0.000885392765218779,0.0933673919350901,0.00217202440276498,,
0.000891627925537222,0.154444333670909,0.00299226444075806,,
0.000897863085855664,0.209420529432173,0.00370400123129944,,
0.000904098246174106,0.256443433848956,0.00424041413942344,,
0.000910333406492548,0.293273149219196,0.00468050985061508,,
0.00091656856681099,0.319164190949149,0.0048831321348155,,
0.000922803727129432,0.332302855415115,0.00491569925178981,,
0.000929038887447874,0.332485276705902,0.00476600454326714,,
0.000935274047766316,0.320350603921696,0.00440735066688847,,
0.000941509208084758,0.295421268206447,0.0038919988810262,,
0.0009477443684032,0.259194096963484,0.00320067406856772,,
0.000953979528721643,0.213227446614612,0.00244176956895581,,
0.000960214689040085,0.158938827871133,0.00156945030773104,,
0.000966449849358527,0.0987164400566763,0.000618339025102443,,
0.000972685009676969,0.0351125480426955,-0.000303461165323871,,
0.000978920169995411,-0.0285485414604752,-0.00123113628230476,,
0.000985155330313853,-0.0929031372059477,-0.00216698924209435,,
0.000991390490632295,-0.154169352569868,-0.00301063109948263,,
0.000997625650950737,-0.20943675491483,-0.00370858645605843,,
0.00100386081126918,-0.256547532569195,-0.00429162268514505,,
0.00101009597158762,-0.2939091739376,-0.00465492876147522,,
0.00101633113190606,-0.319700874528662,-0.00487961507852175,,
0.00102256629222451,-0.332923684276676,-0.00491211178567763,,
0.00102880145254295,-0.333071027281108,-0.00475817188030003,,
0.00103503661286139,-0.320561286665863,-0.00439651785873263,,
0.00104127177317983,-0.295912541737125,-0.00387956897211206,,
0.00104750693349827,-0.259437443698995,-0.00321752090560246,,
0.00105374209381672,-0.213096684136221,-0.00242283276243471,,
0.00105997725413516,-0.158511959210344,-0.00156960143124429,,
0.0010662124144536,-0.0981922895086242,-0.000613712584840886,,
0.00107244757477204,-0.0341455163772282,0.000334329860093519,,
0.00107868273509048,0.0294984600348255,0.00124371731473172,,
0.00108491789540893,0.0933636639795563,0.00217501596139025,,
0.00109115305572737,0.154396793361768,0.00298105038919516,,
0.00109738821604581,0.20946345417732,0.00370723321369448,,
0.00110362337636425,0.256320056272956,0.00428810391153789,,
0.0011098585366827,0.293502436236694,0.00467596927598501,,
0.00111609369700114,0.318835740314452,0.00488045656171687,,
0.00112232885731958,0.332038099563538,0.00491427388229582,,
0.00112856401763802,0.332515703923925,0.00474402637605342,,
0.00113479917795646,0.320368285082227,0.00442370635250677,,
0.00114103433827491,0.29549366155248,0.00389402874457101,,
0.00114726949859335,0.259350067522151,0.00322284114017224,,
0.00115350465891179,0.213280241565838,0.00242340119291917,,
0.00115973981923023,0.159081803841939,0.00155963414866012,,
0.00116597497954867,0.0987291506098296,0.00064065893753229,,
0.00117221013986712,0.0351103822780521,-0.000325403268972124,,
0.00117844530018556,-0.028569631037495,-0.00122312501882194,,
0.001184680460504,-0.0928192759586065,-0.0021623147170784,,
0.00119091562082244,-0.154151316365952,-0.0030103906757124,,
0.00119715078114088,-0.209514438407287,-0.00372800582743293,,
0.00120338594145933,-0.256854219044442,-0.00425708237594336,,
0.00120962110177777,-0.293874379685951,-0.00466928377786369,,
0.00121585626209621,-0.319462214365822,-0.00486944000110823,,
0.00122209142241465,-0.332669899265671,-0.00490378453666862,,
0.0012283265827331,-0.333160782248626,-0.00476477151278942,,
0.00123456174305154,-0.320653242902363,-0.0044054152555395,,
0.00124079690336998,-0.295714640554788,-0.00389903471092801,,
0.00124703206368842,-0.259376234219564,-0.00319150361905107,,
0.00125326722400686,-0.213067144526658,-0.00243712595556778,,
0.00125950238432531,-0.158677622453398,-0.00153276164041261,,
0.00126573754464375,-0.098123837144156,-0.000627660598132795,,
0.00127197270496219,-0.0342431533078753,0.000320216984787791,,
0.00127820786528063,0.0294897259675749,0.00124284148528364,,
0.00128444302559907,0.0932906315554323,0.00215314426756086,,
0.00129067818591752,0.154346164175185,0.00299632073322265,,
0.00129691334623596,0.209473395392077,0.00372274398149219,,
0.0013031485065544,0.256436581511641,0.00426966340837032,,
0.00130938366687284,0.293407994696504,0.00468070562425638,,
0.00131561882719128,0.319042979137793,0.00487704597880656,,
0.00132185398750973,0.332070728050543,0.0049042069955787,,
0.00132808914782817,0.332507005361013,0.00474902032122149,,
0.00133432430814661,0.320190550364111,0.00440515594132984,,
0.00134055946846505,0.295567297550357,0.00388592646351826,,
0.0013467946287835,0.259234465396265,0.00320700064834734,,
0.00135302978910194,0.213224002693785,0.00242588442700198,,
0.00135926494942038,0.158901867854841,0.00154065440932216,,
0.00136550010973882,0.0987238959677439,0.000624531654495719,,
0.00137173527005726,0.0350923460741362,-0.000323225716539977,,
0.00137797043037571,-0.0285193568942963,-0.0012481050485369,,
0.00138420559069415,-0.0928267318696741,-0.00214929748723947,,
0.00139044075101259,-0.154172760986356,-0.00299668308619072,,
0.00139667591133103,-0.209580618494096,-0.00368066123515964,,
0.00140291107164947,-0.256742380378428,-0.00427287821763978,,
0.00140914623196792,-0.293940559772761,-0.00467317692562697,,
0.00141538139228636,-0.319377358997005,-0.00487053736388754,,
0.0014216165526048,-0.332952371782118,-0.00491235220944786,,
0.00142785171292324,-0.333394471804088,-0.00475181438889294,,
0.00143408687324168,-0.320968024366769,-0.00439490873678583,,
0.00144032203356013,-0.2958031883748,-0.00389769692437847,,
0.00144655719387857,-0.259435242430013,-0.00321956450764871,,
0.00145279235419701,-0.213012680871526,-0.00243963494934052,,
0.00145902751451545,-0.158635585316712,-0.00156985559351552,,
0.0014652626748339,-0.0981294468296259,-0.000635596299859209,,
0.00147149783515234,-0.0341701563880897,0.000335111237346197,,
0.00147773299547078,0.0295611962008086,0.00124466527131117,,
0.00148396815578922,0.0933077091422109,0.00217294144771696,,
0.00149020331610766,0.154321311138293,0.00301160825037661,,
0.00149643847642611,0.209384208493973,0.00371417802602547,,
0.00150267363674455,0.256490654619051,0.00427570491425078,,
0.00150890879706299,0.293503998427584,0.00466618746316705,,
0.00151514395738143,0.319038647608506,0.00489353218018573,,
0.00152137911769987,0.332084397220834,0.00490869948545436,,
0.00152761427801832,0.332601801944587,0.00474458278535028,,
0.00153384943833676,0.319997264745768,0.00440269331499898,,
0.0015400845986552,0.295695042159982,0.00390286603543544,,
0.00154631975897364,0.259302811247718,0.0032084431909678,,
0.00155255491929209,0.213183598756666,0.00244984093838108,,
0.00155879007961053,0.159003800810436,0.00155123305520721,,
0.00156502523992897,0.0986931137063362,0.000614507700594569,,
0.00157126040024741,0.0351532360145216,-0.000326667211077769,,
0.00157749556056585,-0.0285740335754587,-0.00123510327451148,,
0.0015837307208843,-0.0928658576506098,-0.00215022998800496,,
0.00158996588120274,-0.154134274283512,-0.00300062088408248,,
0.00159620104152118,-0.209490792517901,-0.00371951371640966,,
0.00160243620183962,-0.256736202623543,-0.00425586480127871,,
0.00160867136215806,-0.293986005325935,-0.0046676901117304,,
0.00161490652247651,-0.31963497847656,-0.00488837852494228,,
0.00162114168279495,-0.333041842714929,-0.00489270787011709,,
0.00162737684311339,-0.333150841033869,-0.00474141434352315,,
0.00163361200343183,-0.320480194756918,-0.00437915754521789,,
0.00163984716375027,-0.295948259101573,-0.00389254155182206,,
0.00164608232406872,-0.259555176085187,-0.00322124919135192,,
0.00165231748438716,-0.212999686283666,-0.00245050210374931,,
0.0016585526447056,-0.158601430143155,-0.00157268057281446,,
0.00166478780502404,-0.0981102034782038,-0.000622398752192499,,
0.00167102296534249,-0.0342136136983123,0.0003001501865465,,
0.00167725812566093,0.0295118096660703,0.00124462062118225,,
0.00168349328597937,0.0932968448146553,0.00216796467567537,,
0.00168972844629781,0.154344282445249,0.00299551016165456,,
0.00169596360661625,0.209354988423455,0.0037036852457728,,
0.0017021987669347,0.256374093876027,0.00427021981766673,,
0.00170843392725314,0.293325660135715,0.0046554267821417,,
0.00171466908757158,0.318885481892574,0.00490432720746359,,
0.00172090424789002,0.332117664785931,0.00490826328804284,,
0.00172713940820846,0.332462269894608,0.00475698178263739,,
0.00173337456852691,0.320292483319707,0.00440834327359685,,
0.00173960972884535,0.29541381229538,0.00388107333798748,,
0.00174584488916379,0.2594647110309,0.00319402806863689,,
0.00175208004948223,0.213332752482357,0.00243339595250536,,
0.00175831520980067,0.158906234888466,0.00154705311623271,,
0.00176455037011912,0.0987235764286981,0.000614071503183045,,
0.00177078553043756,0.0351302647075657,-0.000319677748618297,,
0.001777020690756,-0.0285618910917201,-0.00125184879009987,,
0.00178325585107444,-0.0927906594618423,-0.00214704437305091,,
0.00178949101139289,-0.154246112949526,-0.00299232454670095,,
0.00179572617171133,-0.209642183016912,-0.00372654611168555,,
0.00180196133202977,-0.256814170150707,-0.00426736220942825,,
0.00180819649234821,-0.293982596909447,-0.004673147731312,,
0.00181443165266665,-0.319567875276952,-0.00487617358398396,,
0.0018206668129851,-0.332987734103181,-0.00489660101788036,,
0.00182690197330354,-0.333204594602233,-0.00473881261486797,,
0.00183313713362198,-0.320877630321159,-0.00441975309880149,,
0.00183937229394042,-0.295744819242443,-0.00389049794977625,,
0.00184560745425886,-0.259373393872491,-0.00322356412879588,,
0.00185184261457731,-0.213065866370475,-0.00244869892547372,,
0.00185807777489575,-0.158670734611745,-0.00155823625616858,,
0.00186431293521419,-0.0980943685432698,-0.0006405868104018,,
0.00187054809553263,-0.0341518361494664,0.000313708369868326,,
0.00187678325585107,0.0294800687875254,0.00123687554115914,,
0.00188301841616952,0.0932685478569368,0.00214365783251713,,
0.00188925357648796,0.154358874728339,0.00297966966982965,,
0.0018954887368064,0.209560984594952,0.00371347049321624,,
0.00190172389712484,0.256378460909652,0.0042697080584988,,
0.00190795905744329,0.293472932131469,0.00468156428057842,,
0.00191419421776173,0.318676325834959,0.00486754580526183,,
0.00192042937808017,0.332241006857592,0.00492486970130734,,
0.00192666453839861,0.332710232194113,0.0047616906539063,,
0.00193289969871705,0.320120642321768,0.00438724437045668,,
0.0019391348590355,0.295357537918989,0.00389614790837323,,
0.00194537001935394,0.259330824170729,0.00322721685278848,,
0.00195160517967238,0.213336799976936,0.00242711745748014,,
0.00195784033999082,0.158987042762703,0.00155530652079783,,
0.00196407550030926,0.0988382554417855,0.000626515150599083,,
0.00197031066062771,0.0351113053908509,-0.000343469397983576,,
0.00197654582094615,-0.028599170647058,-0.00122292924518064,,
0.00198278098126459,-0.0928509458284746,-0.00214284897826245,,
0.00198901614158303,-0.154179577819332,-0.00299378254513538,,
0.00199525130190147,-0.209732861097229,-0.00373126700414295,,
0.00200148646221992,-0.256779091864351,-0.00426551438102374,,
0.00200772162253836,-0.293854497256438,-0.00467705290026377,,
0.0020139567828568,-0.319657346209763,-0.00487761612660442,,
0.00202019194317524,-0.332892298441516,-0.00491012828957427,,
0.00202642710349369,-0.333356269135951,-0.00474449520240583,,
0.00203266226381213,-0.320637407967429,-0.00438271925164102,,
0.00203889742413057,-0.295732037680612,-0.00388386912297145,,
0.00204513258444901,-0.25944205926299,-0.00323978071208986,,
0.00205136774476745,-0.21290673592569,-0.00241608372374502,,
0.0020576029050859,-0.158575938028171,-0.00154998628622849,,
0.00206383806540434,-0.0980636217862005,-0.000619649334649974,,
0.00207007322572278,-0.0342102052818242,0.000324077503610631,,
0.00207630838604122,0.0295239166454706,0.00125889835850179,,
0.00208254354635966,0.0933764100370481,0.00215836146337223,,
0.00208877870667811,0.154411385644857,0.00299843989702486,,
0.00209501386699655,0.209474318504875,0.00370326278686228,,
0.00210124902731499,0.256365111278408,0.00429811584425055,,
0.00210748418763343,0.293455499501306,0.00469334847993919,,
0.00211371934795187,0.318933945314514,0.00489419506286604,,
0.00211995450827032,0.33221771601159,0.00490479088187756,,
0.00212618966858876,0.332565729536755,0.00475116696202571,,
0.0021324248289072,0.320263902327281,0.00440106873723822,,
0.00213865998922564,0.295432168038341,0.00388628709917338,,
0.00214489514954409,0.259466308726129,0.0032099303837172,,
0.00215113030986253,0.21326224086626,0.00245159946652818,,
0.00215736547018097,0.159001954584839,0.00156927170721621,,
0.00216360063049941,0.0987129961358498,0.000633970004785045,,
0.00216983579081785,0.0351221697184066,-0.000317213404974481,,
0.0021760709511363,-0.0285503876860729,-0.0012495183968424,,
0.00218230611145474,-0.092869621110482,-0.00215272524327625,,
0.00218854127177318,-0.154092663198887,-0.00301102264676523,,
0.00219477643209162,-0.209410339687048,-0.00372041358823516,,
0.00220101159241006,-0.256684224272101,-0.00428457311674313,,
0.00220724675272851,-0.293913576475564,-0.0046701853670017,,
0.00221348191304695,-0.319554241610999,-0.00486605861251288,,
0.00221971707336539,-0.332878664775564,-0.00493915087325236,,
0.00222595223368383,-0.33329505965652,-0.0047487043356953,,
0.00223218739400227,-0.320833178889461,-0.00441571054483836,,
0.00223842255432072,-0.295661171021132,-0.0038813876062016,,
0.00224465771463916,-0.25933618532583,-0.00321510292940053,,
0.0022508928749576,-0.213119051869424,-0.0024454961373932,,
0.00225712803527604,-0.158628129405645,-0.00156438423543293,,
0.00226336319559449,-0.0980365674803267,-0.000646298592254624,,
0.00226959835591293,-0.0341959325377805,0.000314069005523443,,
0.00227583351623137,0.0295310885218308,0.00125160664901669,,
0.00228206867654981,0.0933751673852035,0.00217594674484323,,
0.00228830383686825,0.15438216557434,0.00299119627229372,,
0.0022945389971867,0.209330454925609,0.00371826523011753,,
0.00230077415750514,0.25635765536734,0.00426235796038421,,
0.00230700931782358,0.293471085905871,0.00466325772779674,,
0.00231324447814202,0.31886091289039,0.00488821538024098,,
0.00231947963846046,0.332198756694876,0.00490309417698542,,
0.00232571479877891,0.332675721977171,0.00474229875953425,,
0.00233194995909735,0.320184656643934,0.00438604225160599,,
0.00233818511941579,0.295441754209714,0.00388359778757374,,
0.00234442027973423,0.259366541535176,0.00320657818943682,,
0.00235065544005268,0.213359203214478,0.00241186085195411,,
0.00235689060037112,0.158989208527347,0.00157212588083011,,
0.00236312576068956,0.0987627377139722,0.000612582593121136,,
0.002369360921008,0.0350718600708695,-0.000324893227117151,,
0.00237559608132644,-0.0284945038574044,-0.00123199322131384,,
0.00238183124164489,-0.0927993935290929,-0.00214537514516122,,
0.00238806640196333,-0.154086698470033,-0.00300406409593323,,
0.00239430156228177,-0.209625353960502,-0.00370497838219386,,
0.00240053672260021,-0.256714118925048,-0.00427671297677312,,
0.00240677188291865,-0.293984443135044,-0.00467696360000636,,
0.0024130070432371,-0.31954863192553,-0.00489891423801136,,
0.00241924220355554,-0.332804744742979,-0.00491698208433533,,
0.00242547736387398,-0.333162983517608,-0.00474859786231141,,
0.00243171252419242,-0.320990392099972,-0.00440682688653293,,
0.00243794768451086,-0.295622329274903,-0.00386607261204519,,
0.00244418284482931,-0.259439289924593,-0.00322449491224841,,
0.00245041800514775,-0.213057416337932,-0.00244382862681602,,
0.00245665316546619,-0.158674782106325,-0.00154616698290866,,
0.00246288832578463,-0.0980632667428164,-0.000604545569949266,,
0.00246912348610308,-0.0341996249889759,0.000341965032107261,,
0.00247535864642152,0.0295456808049203,0.00123614053134791,,
0.00248159380673996,0.0933350474827921,0.00216078287419963,,
0.0024878289670584,0.154311050384491,0.00298220785791692,,
0.00249406412737684,0.209441405983163,0.00370485645299556,,
0.00250029928769529,0.256402994407499,0.00427890255039332,,
0.00250653444801373,0.293426634474173,0.00468050985061508,,
0.00251276960833217,0.319042695103085,0.00488126713328452,,
0.00251900476865061,0.332224248809859,0.00492243455197849,,
0.00252523992896905,0.332352277454191,0.00475388718525327,,
0.0025314750892875,0.320110381567965,0.00438601133997851,,
0.00253771024960594,0.29572827422074,0.00388419884699864,,
0.00254394540992438,0.259443905488587,0.00323172651579062,,
0.00255018057024282,0.213268738160191,0.0024560198292729,,
0.00255641573056126,0.159080525685756,0.00156071605562547,,
0.00256265089087971,0.0987369615642814,0.000621361495355188,,
0.00256888605119815,0.0351224892574523,-0.000318520279896539,,
0.00257512121151659,-0.0285839747902155,-0.00124239326668407,,
0.00258135637183503,-0.0928425668046081,-0.00216919770615398,,
0.00258759153215348,-0.154172192916941,-0.00300352314245034,,
0.00259382669247192,-0.209593400055926,-0.00369958258586767,,
0.00260006185279036,-0.256862314033601,-0.00426809893655244,,
0.0026062970131088,-0.29406865942577,-0.00467030557888659,,
0.00261253217342724,-0.319363086252962,-0.00487106457886899,,
0.00261876733374569,-0.332976230697534,-0.0048875215859332,,
0.00262500249406413,-0.333338872010126,-0.004743442489755,,
0.00263123765438257,-0.320485520407681,-0.00441673062854875,,
